label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,13.671,1.595,5.326,1.000,0.000,0.000,0.000,1.000,0.000,0.670,0.037,0.661,1
picture,11.790,-1.840,5.037,0.000,1.000,-0.000,-1.000,0.000,0.000,0.435,0.030,0.436,1
table,13.829,-2.914,3.748,1.000,0.000,0.000,0.000,1.000,0.000,0.884,0.250,0.249,0
table,14.836,1.029,3.738,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.316,0.122,0.228,0
picture,15.501,-1.989,5.043,0.000,1.000,-0.000,-1.000,0.000,0.000,0.339,0.025,0.419,1
picture,13.781,-3.131,4.992,1.000,0.000,0.000,0.000,1.000,0.000,0.836,0.035,0.823,1
sofa,15.222,-1.593,3.901,-0.707,0.707,-0.000,-0.707,-0.707,0.000,0.343,0.451,0.422,2
bed,13.767,0.497,3.942,-0.000,-1.000,-0.000,1.000,-0.000,0.000,1.151,0.944,0.455,2
decor,13.186,-2.824,4.427,0.924,0.383,-0.000,-0.383,0.924,0.000,0.138,0.138,0.173,0
table,12.406,1.328,3.765,0.000,1.000,0.000,-1.000,0.000,0.000,0.332,0.300,0.276,0
other,13.784,-0.317,3.529,1.000,0.000,0.000,0.000,1.000,0.000,1.781,1.456,0.069,-1
storage,15.555,-0.009,4.762,0.000,1.000,-0.000,-1.000,0.000,0.000,1.180,0.042,1.257,1
decor,14.861,1.265,4.262,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.145,0.102,0.127,0
decor,12.407,1.405,4.246,0.707,0.707,0.000,-0.707,0.707,0.000,0.163,0.157,0.124,0
