label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-9.792,-0.810,-3.387,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.529,0.525,0.457,2
table,-12.921,3.917,-3.467,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.646,0.324,0.043,0
tv,-12.847,-3.807,-2.045,1.000,0.000,0.000,0.000,1.000,0.000,1.378,0.028,0.784,2
chair,-17.533,0.879,-3.031,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.239,0.234,0.223,2
picture,-9.265,-0.482,-1.840,0.000,1.000,0.000,-1.000,0.000,0.000,0.905,0.059,0.796,1
sofa,-13.191,2.650,-3.453,0.000,1.000,0.000,-1.000,0.000,0.000,0.535,1.550,0.404,2
chair,-19.641,4.342,0.302,0.707,0.707,0.000,-0.707,0.707,0.000,0.283,0.235,0.278,2
chair,-19.594,5.043,0.311,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.202,0.255,0.286,2
table,-17.884,1.471,-3.316,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.589,1.751,0.631,0
other,-9.496,1.739,-3.495,0.000,1.000,0.000,-1.000,0.000,0.000,1.674,0.444,0.228,-1
storage,-19.814,1.657,-2.274,0.000,1.000,0.000,-1.000,0.000,0.000,1.975,0.410,1.402,1
table,-17.360,5.710,-3.446,1.000,0.000,0.000,0.000,1.000,0.000,0.807,0.456,0.192,0
sofa,-12.858,5.670,-3.406,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.544,1.294,0.348,2
