label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-5.380,-4.312,0.401,0.000,1.000,0.000,-1.000,0.000,0.000,0.391,0.278,0.376,-1
table,-3.858,-7.091,-2.755,0.000,1.000,0.000,-1.000,0.000,0.000,2.027,0.783,0.578,0
storage,-4.219,-4.177,0.482,1.000,0.000,0.000,0.000,1.000,0.000,0.687,0.070,0.459,1
storage,-6.128,-6.679,-2.364,0.000,1.000,0.000,-1.000,0.000,0.000,2.787,0.399,0.964,1
storage,-3.784,-5.976,0.500,-0.707,0.707,0.000,-0.707,-0.707,0.000,1.580,0.930,0.501,1
chair,-3.276,-6.605,-2.766,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.255,0.339,0.488,2
chair,-3.251,-5.840,-2.766,-1.000,0.000,0.000,0.000,-1.000,0.000,0.231,0.301,0.487,2
chair,-3.279,-7.560,-2.769,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.257,0.344,0.490,2
storage,-6.183,-4.952,-1.529,0.000,1.000,0.000,-1.000,0.000,0.000,1.082,0.340,0.867,1
other,-6.144,-5.385,0.392,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.388,0.283,0.372,-1
other,-6.141,-3.950,0.248,0.000,1.000,0.000,-1.000,0.000,0.000,0.740,0.424,0.231,-1
chair,-3.343,-8.270,-2.793,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.325,0.377,0.511,2
