label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-15.239,63.452,0.826,0.000,1.000,0.000,-1.000,0.000,0.000,0.208,0.239,0.076,2
chair,-15.501,60.614,0.658,1.000,0.000,0.000,0.000,1.000,0.000,0.068,0.027,0.132,2
chair,-12.643,60.513,0.818,0.000,1.000,0.000,-1.000,0.000,0.000,0.322,0.543,0.338,2
chair,-15.238,61.809,0.744,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.286,0.250,0.128,2
chair,-12.146,62.046,0.684,0.000,1.000,0.000,-1.000,0.000,0.000,0.234,0.405,0.210,2
chair,0.583,63.630,0.693,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.239,0.508,0.200,2
chair,4.283,61.350,0.995,-1.000,0.000,0.000,0.000,-1.000,0.000,0.074,0.282,0.199,2
chair,-15.541,63.437,0.718,0.000,1.000,0.000,-1.000,0.000,0.000,0.228,0.513,0.192,2
table,4.145,62.173,1.017,0.000,1.000,0.000,-1.000,0.000,0.000,0.451,0.237,0.274,0
chair,-11.709,62.064,0.653,0.000,1.000,-0.000,-1.000,0.000,0.000,0.265,0.526,0.219,2
chair,1.136,61.136,0.639,0.924,0.383,-0.000,-0.383,0.924,0.000,0.217,0.317,0.179,2
chair,-12.578,62.070,0.781,0.000,1.000,0.000,-1.000,0.000,0.000,0.225,0.254,0.075,2
table,3.094,64.572,1.075,0.000,1.000,0.000,-1.000,0.000,0.000,0.798,0.454,0.320,0
chair,-15.745,60.844,0.770,0.000,1.000,0.000,-1.000,0.000,0.000,0.248,0.312,0.161,2
chair,-15.766,61.801,0.796,0.000,1.000,-0.000,-1.000,0.000,0.000,0.259,0.287,0.135,2
chair,-15.737,62.600,0.721,0.000,1.000,-0.000,-1.000,0.000,0.000,0.249,0.327,0.196,2
chair,-15.734,65.101,1.016,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.346,0.360,0.500,2
chair,-12.292,63.139,0.683,0.000,1.000,0.000,-1.000,0.000,0.000,0.246,0.577,0.203,2
