label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-8.016,5.486,2.712,1.000,0.000,0.000,0.000,1.000,0.000,0.619,0.025,0.640,1
decor,-8.345,8.084,2.201,0.000,1.000,0.000,-1.000,0.000,0.000,0.094,0.077,0.058,0
other,-8.380,8.615,2.037,0.000,1.000,0.000,-1.000,0.000,0.000,0.235,0.158,0.103,-1
decor,-8.472,9.266,2.237,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.176,0.159,0.095,0
other,-6.068,7.675,1.538,0.000,1.000,0.000,-1.000,0.000,0.000,0.340,0.219,0.278,-1
picture,-8.278,9.407,2.934,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.271,0.022,0.376,1
decor,-5.519,11.315,2.661,1.000,0.000,0.000,0.000,1.000,0.000,0.081,0.064,0.179,0
other,-6.570,8.588,2.575,0.000,1.000,-0.000,-1.000,0.000,0.000,0.211,0.109,0.600,-1
other,-8.468,8.095,1.900,0.000,1.000,0.000,-1.000,0.000,0.000,1.377,0.374,0.357,-1
other,-8.375,7.549,2.042,0.000,1.000,0.000,-1.000,0.000,0.000,0.245,0.153,0.099,-1
other,-6.459,9.145,2.552,0.383,0.924,-0.000,-0.924,0.383,0.000,0.192,0.118,0.647,-1
picture,-8.712,8.064,3.104,0.000,1.000,0.000,-1.000,0.000,0.000,1.352,0.135,0.948,1
