label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,3.544,-1.952,3.994,1.000,0.000,0.000,0.000,1.000,0.000,0.354,0.298,0.159,0
decor,-1.843,-1.327,4.202,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.220,0.217,0.614,0
decor,-1.758,-2.930,4.189,0.000,1.000,-0.000,-1.000,0.000,0.000,0.228,0.211,0.638,0
decor,-2.136,0.826,4.644,0.924,0.383,-0.000,-0.383,0.924,0.000,0.747,0.426,1.189,0
decor,2.678,-5.079,4.183,1.000,0.000,0.000,0.000,1.000,0.000,0.435,0.312,0.729,0
decor,4.315,-5.439,4.579,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.398,0.261,0.974,0
picture,-0.821,-3.235,2.797,1.000,0.000,0.000,0.000,1.000,0.000,10.424,4.700,2.819,1
decor,9.363,-0.986,3.452,1.000,0.000,0.000,0.000,1.000,0.000,0.370,0.242,0.323,0
decor,4.384,1.006,4.089,0.707,0.707,-0.000,-0.707,0.707,0.000,0.232,0.202,0.453,0
sofa,9.481,-1.818,3.360,-1.000,0.000,0.000,0.000,-1.000,0.000,0.307,0.672,0.220,2
decor,9.447,-2.679,3.467,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.353,0.220,0.333,0
decor,2.401,0.958,4.091,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.226,0.176,0.427,0
decor,7.053,-3.831,2.657,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.338,0.162,0.111,0
sofa,3.408,1.125,3.352,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.318,0.795,0.211,2
