label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-7.137,5.183,-3.113,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.598,0.608,0.478,2
chair,-5.536,-4.457,-3.160,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.368,0.268,0.400,2
chair,-4.417,4.724,-3.035,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.414,0.293,0.500,2
decor,-7.312,3.837,-2.461,1.000,0.000,0.000,0.000,1.000,0.000,0.218,0.193,0.161,0
chair,-6.233,-3.661,-3.038,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.417,0.229,0.497,2
chair,-4.366,3.056,-3.022,0.000,1.000,-0.000,-1.000,0.000,0.000,0.344,0.287,0.487,2
table,-4.472,3.936,-3.023,0.000,1.000,0.000,-1.000,0.000,0.000,0.512,0.397,0.429,0
chair,-5.533,-3.741,-3.190,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.336,0.317,0.345,2
sofa,-7.122,2.607,-3.106,1.000,0.000,0.000,0.000,1.000,0.000,0.629,0.608,0.457,2
table,-7.184,3.808,-3.259,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.371,0.368,0.204,0
decor,-7.217,-2.251,-2.643,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.183,0.149,0.366,0
decor,-4.272,-5.711,-2.594,0.000,1.000,-0.000,-1.000,0.000,0.000,0.605,0.449,0.973,0
