label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,0.205,8.190,0.354,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.184,0.181,0.353,0
decor,4.044,9.361,2.037,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.293,0.185,0.296,0
table,3.645,7.175,0.413,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.213,0.157,0.406,0
chair,3.805,6.914,0.486,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.343,0.288,0.477,2
table,4.684,8.770,0.409,0.383,0.924,0.000,-0.924,0.383,0.000,0.449,0.417,0.407,0
decor,5.105,6.706,2.688,1.000,0.000,0.000,0.000,1.000,0.000,0.188,0.137,0.271,0
picture,4.109,9.531,2.699,1.000,0.000,0.000,0.000,1.000,0.000,0.597,0.068,0.819,1
picture,5.252,9.043,3.666,0.000,1.000,-0.000,-1.000,0.000,0.000,0.512,0.067,0.600,1
picture,5.280,6.012,2.498,0.000,1.000,-0.000,-1.000,0.000,0.000,0.455,0.047,0.570,1
picture,4.104,5.432,2.851,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.602,0.054,0.771,1
decor,0.231,6.959,0.346,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.180,0.176,0.351,0
chair,3.917,7.639,0.496,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.279,0.289,0.475,2
table,0.262,5.797,0.874,1.000,0.000,0.000,0.000,1.000,0.000,0.599,0.386,0.876,0
picture,5.275,9.033,2.514,0.000,1.000,-0.000,-1.000,0.000,0.000,0.493,0.051,0.529,1
decor,5.081,8.304,2.642,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.191,0.141,0.255,0
picture,1.812,9.546,3.794,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.793,0.075,0.422,1
picture,1.863,5.439,3.849,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.830,0.077,0.464,1
picture,5.266,5.947,3.741,0.000,1.000,-0.000,-1.000,0.000,0.000,0.462,0.060,0.658,1
picture,0.111,5.451,2.596,1.000,0.000,0.000,0.000,1.000,0.000,0.390,0.041,0.458,1
picture,0.075,9.555,2.730,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.570,0.070,0.701,1
