label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,20.006,-6.055,4.095,1.000,0.000,0.000,0.000,1.000,0.000,0.452,0.029,0.330,1
picture,14.803,-9.133,3.216,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.180,0.065,0.126,1
table,20.580,-7.064,2.547,0.000,1.000,0.000,-1.000,0.000,0.000,0.563,0.267,0.428,0
storage,19.847,-10.969,2.688,0.000,1.000,0.000,-1.000,0.000,0.000,0.184,0.354,0.532,1
bed,19.615,-8.635,3.234,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.253,1.094,1.078,2
decor,20.049,-6.102,3.118,1.000,0.000,0.000,0.000,1.000,0.000,0.581,0.071,0.633,0
table,16.696,-8.649,2.503,0.000,1.000,0.000,-1.000,0.000,0.000,0.546,0.399,0.262,0
sofa,17.986,-8.676,2.621,-1.000,0.000,0.000,0.000,-1.000,0.000,0.561,1.093,0.457,2
picture,20.170,-11.072,3.708,1.000,0.000,0.000,0.000,1.000,0.000,0.562,0.089,0.330,1
sofa,15.877,-6.857,2.693,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.592,0.537,0.509,2
storage,14.824,-6.323,2.688,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.191,0.240,0.503,1
picture,15.369,-6.133,4.427,1.000,0.000,0.000,0.000,1.000,0.000,0.597,0.033,0.479,1
tv,14.693,-8.653,3.784,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.123,0.811,0.612,2
decor,20.706,-7.358,3.238,0.000,1.000,-0.000,-1.000,0.000,0.000,0.189,0.156,0.352,0
sofa,16.546,-10.584,2.621,0.707,0.707,0.000,-0.707,0.707,0.000,0.449,0.409,0.409,2
decor,20.715,-10.268,3.279,0.000,1.000,-0.000,-1.000,0.000,0.000,0.197,0.133,0.372,0
table,20.578,-10.266,2.559,0.000,1.000,0.000,-1.000,0.000,0.000,0.618,0.271,0.416,0
