label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,6.713,-9.266,-0.661,0.000,1.000,-0.000,-1.000,0.000,0.000,0.323,0.296,0.416,2
chair,6.151,-7.930,-0.664,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.310,0.322,0.410,2
chair,5.423,-9.245,-0.526,0.000,1.000,0.000,-1.000,0.000,0.000,0.340,0.325,0.317,2
picture,5.510,-11.364,0.636,1.000,0.000,0.000,0.000,1.000,0.000,1.221,0.123,0.891,1
chair,4.848,-9.349,-0.610,0.000,1.000,-0.000,-1.000,0.000,0.000,0.326,0.308,0.380,2
chair,6.693,-7.948,-0.673,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.323,0.313,0.415,2
sofa,5.707,-11.065,-0.571,0.000,1.000,-0.000,-1.000,0.000,0.000,0.363,1.416,0.381,2
chair,7.227,-8.616,-0.636,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.324,0.281,0.384,2
chair,4.868,-7.951,-0.683,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.326,0.291,0.427,2
chair,6.086,-9.334,-0.549,0.000,1.000,0.000,-1.000,0.000,0.000,0.385,0.418,0.340,2
chair,4.627,-8.557,-0.564,1.000,0.000,0.000,0.000,1.000,0.000,0.335,0.278,0.325,2
chair,5.482,-7.981,-0.674,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.324,0.310,0.420,2
chair,4.496,-10.505,-0.961,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.252,0.245,0.241,2
