label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-8.014,-0.276,3.945,1.000,0.000,0.000,0.000,1.000,0.000,0.819,0.487,0.279,-1
chair,-7.091,0.915,0.450,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.320,0.314,0.442,2
storage,-10.098,1.310,4.061,0.000,1.000,0.000,-1.000,0.000,0.000,1.069,0.297,0.464,1
chair,-7.759,3.224,0.572,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.484,0.394,0.591,2
decor,-10.165,0.976,1.686,0.000,1.000,-0.000,-1.000,0.000,0.000,0.596,0.062,0.627,0
decor,-5.901,-1.967,1.150,1.000,0.000,0.000,0.000,1.000,0.000,0.554,0.484,0.813,0
chair,-8.372,2.032,0.430,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.333,0.313,0.453,2
chair,-7.101,2.002,0.540,-1.000,0.000,0.000,0.000,-1.000,0.000,0.309,0.378,0.352,2
chair,-7.270,3.184,3.809,0.000,1.000,0.000,-1.000,0.000,0.000,0.261,0.249,0.253,2
chair,-8.298,1.074,0.436,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.383,0.412,0.451,2
chair,-7.101,1.494,0.668,-1.000,0.000,0.000,0.000,-1.000,0.000,0.293,0.303,0.228,2
chair,-8.486,3.204,3.833,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.267,0.256,0.250,2
chair,-7.677,0.454,0.580,0.000,1.000,0.000,-1.000,0.000,0.000,0.653,0.436,0.597,2
chair,-8.295,2.645,0.433,1.000,0.000,0.000,0.000,1.000,0.000,0.354,0.352,0.455,2
other,-9.939,3.000,3.994,1.000,0.000,0.000,0.000,1.000,0.000,0.287,0.245,0.411,-1
storage,-10.107,-0.669,4.082,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.305,0.167,0.423,1
chair,-7.099,2.582,0.442,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.328,0.323,0.450,2
table,-7.749,1.695,0.753,0.000,1.000,0.000,-1.000,0.000,0.000,1.286,0.536,0.166,0
decor,-10.067,0.013,1.557,0.000,1.000,-0.000,-1.000,0.000,0.000,0.192,0.157,0.722,0
decor,-10.120,1.936,1.583,0.000,1.000,-0.000,-1.000,0.000,0.000,0.203,0.101,0.764,0
chair,-8.334,1.551,0.436,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.324,0.339,0.452,2
decor,-9.662,-0.730,1.478,0.000,1.000,-0.000,-1.000,0.000,0.000,0.688,0.557,1.021,0
