label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-5.442,2.515,0.496,1.000,0.000,0.000,0.000,1.000,0.000,1.086,1.034,0.500,1
other,-5.286,3.270,0.806,0.000,1.000,0.000,-1.000,0.000,0.000,0.165,0.140,0.115,-1
storage,-7.250,1.223,1.870,-0.707,0.707,0.000,-0.707,-0.707,0.000,2.092,0.310,0.563,1
storage,-8.253,2.252,0.493,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.696,0.345,0.473,1
storage,-5.847,0.809,3.014,-0.924,0.383,0.000,-0.383,-0.924,0.000,3.433,0.790,0.639,1
other,-2.716,3.413,0.914,0.000,1.000,0.000,-1.000,0.000,0.000,0.544,0.282,0.244,-1
storage,-3.334,-0.007,1.853,0.000,1.000,-0.000,-1.000,0.000,0.000,0.179,0.955,0.561,1
storage,-2.696,6.064,0.515,0.000,1.000,0.000,-1.000,0.000,0.000,0.689,0.329,0.545,1
table,-5.574,4.744,0.463,1.000,0.000,0.000,0.000,1.000,0.000,1.176,0.406,0.489,0
storage,-6.169,4.592,2.469,-0.924,-0.383,0.000,0.383,-0.924,0.000,1.895,0.578,1.176,1
storage,-4.836,0.570,0.484,-1.000,0.000,0.000,-0.000,-1.000,0.000,2.477,0.748,0.485,1
decor,-2.758,6.082,2.773,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.446,0.282,0.336,0
storage,-2.656,3.291,1.803,0.000,1.000,0.000,-1.000,0.000,0.000,1.859,0.437,1.826,1
