label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,0.638,-5.121,-1.389,0.000,1.000,0.000,-1.000,0.000,0.000,0.225,0.011,0.220,1
decor,0.766,-5.504,-2.559,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.480,0.262,0.440,0
table,4.595,-7.098,-2.470,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.402,0.402,0.486,0
sofa,1.184,-5.125,-2.499,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.451,0.436,0.491,2
picture,5.169,-7.429,-1.566,0.000,1.000,-0.000,-1.000,0.000,0.000,0.420,0.027,0.463,1
sofa,1.396,-7.328,-2.495,0.707,0.707,-0.000,-0.707,0.707,0.000,0.474,0.496,0.495,2
table,2.006,-7.494,-2.722,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.244,0.191,0.267,0
table,4.587,-4.486,-2.312,0.383,0.924,0.000,-0.924,0.383,0.000,0.411,0.388,0.194,0
picture,5.174,-4.125,-1.571,0.000,1.000,-0.000,-1.000,0.000,0.000,0.443,0.022,0.448,1
decor,4.548,-4.003,-2.792,0.000,1.000,0.000,-1.000,0.000,0.000,0.300,0.219,0.220,0
bed,3.926,-5.787,-2.316,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.293,1.060,0.694,2
