label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,8.336,-2.332,4.946,1.000,0.000,0.000,0.000,1.000,0.000,0.764,0.196,0.669,1
chair,7.099,-1.733,3.667,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.079,0.265,0.136,2
chair,6.409,-1.894,3.660,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.259,0.230,0.155,2
chair,9.231,0.870,3.648,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.253,0.302,0.181,2
chair,5.581,-1.906,3.656,-0.383,-0.924,-0.000,0.924,-0.383,0.000,0.253,0.244,0.170,2
chair,7.919,0.875,3.651,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.206,0.314,0.181,2
chair,8.485,0.998,3.658,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.149,0.292,0.186,2
chair,9.866,0.864,3.631,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.269,0.306,0.193,2
storage,10.229,2.859,4.265,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.735,0.074,1.343,1
storage,8.687,-2.172,3.582,1.000,0.000,0.000,0.000,1.000,0.000,3.652,0.392,0.657,1
storage,11.137,-2.347,4.898,0.000,1.000,0.000,-1.000,0.000,0.000,0.175,1.074,0.640,1
