label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,9.374,3.007,0.569,1.000,0.000,0.000,0.000,1.000,0.000,0.381,0.027,0.387,1
other,8.622,1.247,-1.226,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.996,0.642,0.045,-1
chair,8.453,0.496,-0.834,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.332,0.306,0.348,2
picture,8.147,-2.003,0.231,1.000,0.000,0.000,0.000,1.000,0.000,0.662,0.034,0.523,1
other,7.869,-0.843,-1.212,1.000,0.000,0.000,0.000,1.000,0.000,0.970,0.635,0.052,-1
picture,9.221,3.022,-0.315,1.000,0.000,0.000,0.000,1.000,0.000,0.413,0.025,0.378,1
sofa,8.913,-1.056,-1.079,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.438,1.008,0.185,2
chair,7.359,1.473,-0.538,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.447,0.644,0.343,2
picture,8.441,3.001,1.125,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.404,0.037,0.418,1
picture,7.264,3.009,0.726,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.405,0.026,0.384,1
picture,7.367,3.024,-0.118,1.000,0.000,0.000,0.000,1.000,0.000,0.404,0.035,0.392,1
picture,6.322,1.031,0.226,0.000,1.000,0.000,-1.000,0.000,0.000,1.162,0.087,0.748,1
chair,9.057,1.594,-0.857,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.347,0.312,0.356,2
picture,8.287,3.021,0.297,1.000,0.000,0.000,0.000,1.000,0.000,0.388,0.031,0.410,1
