label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,6.432,-17.412,3.422,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.466,0.290,0.593,2
decor,5.108,-13.679,3.960,1.000,0.000,0.000,0.000,1.000,0.000,0.200,0.163,0.338,0
decor,6.255,-13.576,3.968,1.000,0.000,0.000,0.000,1.000,0.000,0.377,0.238,0.354,0
storage,7.174,-16.585,4.610,0.707,0.707,-0.000,-0.707,0.707,0.000,0.473,0.149,0.909,1
chair,3.878,-16.112,3.396,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.501,0.392,0.601,2
picture,6.464,-17.892,4.534,0.707,0.707,0.000,-0.707,0.707,0.000,0.623,0.072,0.465,1
chair,3.557,-15.506,3.396,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.378,0.684,0.600,2
table,6.599,-16.073,3.345,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.692,0.430,0.535,0
table,3.270,-15.637,3.339,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.615,0.390,0.540,0
table,5.376,-17.168,3.414,-0.924,0.383,0.000,-0.383,-0.924,0.000,1.612,0.851,0.605,0
chair,5.573,-17.460,3.414,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.295,0.289,0.590,2
storage,8.139,-13.712,3.886,0.000,1.000,-0.000,-1.000,0.000,0.000,0.449,0.172,1.060,1
