label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-2.727,10.850,1.262,0.383,0.924,0.000,-0.924,0.383,0.000,0.361,0.271,0.288,0
chair,-2.253,11.543,0.564,-1.000,0.000,0.000,0.000,-1.000,0.000,0.538,0.363,0.585,2
chair,-3.415,9.974,0.573,1.000,0.000,-0.000,0.000,1.000,0.000,0.353,0.337,0.586,2
storage,-4.554,11.063,1.393,0.000,1.000,0.000,-1.000,0.000,0.000,1.183,0.393,1.417,1
decor,-4.695,9.505,1.912,0.000,1.000,0.000,-1.000,0.000,0.000,0.293,0.204,0.689,0
table,-2.756,10.877,0.715,0.000,1.000,0.000,-1.000,0.000,0.000,1.566,0.609,0.187,0
chair,-2.730,9.385,0.572,0.000,1.000,0.000,-1.000,0.000,0.000,0.444,0.375,0.582,2
chair,-3.481,10.867,0.579,1.000,0.000,-0.000,0.000,1.000,0.000,0.336,0.390,0.575,2
decor,-4.539,11.337,2.386,0.000,1.000,0.000,-1.000,0.000,0.000,1.180,0.380,1.055,0
chair,-2.100,10.619,0.562,-1.000,0.000,0.000,0.000,-1.000,0.000,0.383,0.537,0.588,2
chair,-3.436,11.550,0.580,1.000,0.000,-0.000,0.000,1.000,0.000,0.417,0.352,0.577,2
chair,-2.139,10.015,0.563,-1.000,0.000,0.000,0.000,-1.000,0.000,0.406,0.319,0.585,2
chair,-2.710,12.258,0.575,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.338,0.453,0.582,2
