label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,7.749,8.446,1.800,0.000,1.000,0.000,-1.000,0.000,0.000,0.923,0.208,0.595,1
storage,6.389,8.441,0.532,0.000,1.000,0.000,-1.000,0.000,0.000,0.897,0.093,0.462,1
other,7.591,8.469,0.904,0.000,1.000,0.000,-1.000,0.000,0.000,0.927,0.344,0.302,-1
storage,6.322,10.566,0.487,-0.000,-1.000,-0.000,1.000,-0.000,0.000,1.311,0.110,0.497,1
other,7.591,10.935,0.904,0.000,1.000,0.000,-1.000,0.000,0.000,0.915,0.350,0.021,-1
storage,7.764,10.904,1.803,0.000,1.000,0.000,-1.000,0.000,0.000,0.957,0.230,0.620,1
storage,5.895,7.853,1.825,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.163,0.300,0.590,1
storage,7.344,10.637,0.450,0.000,1.000,0.000,-1.000,0.000,0.000,1.226,0.120,0.468,1
other,5.993,9.270,0.820,0.000,1.000,0.000,-1.000,0.000,0.000,1.707,0.444,0.137,-1
other,6.096,8.521,0.760,0.000,1.000,0.000,-1.000,0.000,0.000,0.292,0.213,0.136,-1
storage,7.320,8.431,0.457,0.000,1.000,0.000,-1.000,0.000,0.000,1.026,0.096,0.468,1
