label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,2.866,-9.998,4.722,1.000,0.000,0.000,0.000,1.000,0.000,0.164,0.104,0.420,0
other,0.484,-7.576,4.256,0.000,1.000,0.000,-1.000,0.000,0.000,0.274,0.152,0.087,-1
picture,3.734,-7.682,5.012,0.000,1.000,-0.000,-1.000,0.000,0.000,0.422,0.019,0.521,1
other,3.404,-7.620,4.311,0.000,1.000,0.000,-1.000,0.000,0.000,0.589,0.315,0.088,-1
other,1.915,-8.542,4.320,1.000,0.000,0.000,0.000,1.000,0.000,1.780,1.534,0.118,-1
decor,3.534,-9.222,4.456,0.000,1.000,-0.000,-1.000,0.000,0.000,0.095,0.056,0.143,0
picture,0.140,-7.612,5.086,0.000,1.000,-0.000,-1.000,0.000,0.000,0.379,0.021,0.526,1
other,3.380,-7.614,4.230,0.000,1.000,0.000,-1.000,0.000,0.000,0.271,0.147,0.087,-1
decor,3.658,-9.170,4.456,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.131,0.103,0.140,0
decor,3.627,-9.375,4.507,0.383,0.924,-0.000,-0.924,0.383,0.000,0.136,0.111,0.199,0
