label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,12.654,16.102,0.557,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.311,0.446,0.543,2
chair,11.310,15.538,0.574,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.320,0.371,0.543,2
chair,12.730,15.020,0.558,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.274,0.391,0.542,2
table,11.743,15.075,0.629,0.707,0.707,0.000,-0.707,0.707,0.000,1.380,0.681,0.186,0
chair,12.277,14.570,0.621,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.215,0.400,0.477,2
storage,9.362,15.099,0.630,0.000,1.000,0.000,-1.000,0.000,0.000,1.070,0.339,0.614,1
decor,9.406,16.329,0.604,0.000,1.000,0.000,-1.000,0.000,0.000,0.432,0.383,0.602,0
decor,9.359,15.172,1.171,0.000,1.000,0.000,-1.000,0.000,0.000,0.880,0.336,0.179,0
chair,10.875,15.017,0.569,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.451,0.397,0.531,2
sofa,11.849,17.499,0.501,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.546,0.844,0.503,2
tv,9.126,15.169,1.728,1.000,0.000,-0.000,0.000,1.000,0.000,0.100,0.666,0.440,2
chair,10.956,14.134,0.570,0.924,-0.383,-0.000,0.383,0.924,0.000,0.512,0.394,0.543,2
decor,9.497,13.867,0.601,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.412,0.329,0.586,0
chair,11.685,14.133,0.564,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.294,0.357,0.538,2
decor,11.819,15.128,1.003,0.383,0.924,0.000,-0.924,0.383,0.000,0.288,0.222,0.202,0
chair,11.824,15.891,0.571,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.393,0.437,0.540,2
