label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-4.886,2.076,3.983,0.000,1.000,0.000,-1.000,0.000,0.000,2.158,0.314,0.512,0
other,-5.026,3.088,1.433,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.073,0.038,0.119,-1
other,-5.014,1.352,1.489,1.000,0.000,0.000,0.000,1.000,0.000,0.084,0.083,0.226,-1
other,0.065,1.793,0.605,0.000,1.000,0.000,-1.000,0.000,0.000,0.758,0.374,0.571,-1
decor,-4.671,-0.769,1.500,1.000,0.000,0.000,0.000,1.000,0.000,0.443,0.260,0.282,0
decor,-0.183,2.956,0.657,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.589,0.512,0.651,0
other,-0.117,1.881,4.161,0.000,1.000,0.000,-1.000,0.000,0.000,0.924,0.368,0.676,-1
sofa,-0.894,3.637,0.471,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.527,0.495,0.467,2
decor,-3.969,0.598,1.160,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.239,0.237,0.388,0
sofa,-0.646,3.140,4.080,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.369,0.447,0.536,2
sofa,-3.076,1.936,0.457,1.000,0.000,0.000,0.000,1.000,0.000,1.515,1.418,0.479,2
table,-4.025,3.542,0.181,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.404,0.292,0.189,0
picture,-0.035,1.790,1.614,0.000,1.000,0.000,-1.000,0.000,0.000,0.715,0.118,0.467,1
picture,-5.091,2.241,1.706,0.000,1.000,-0.000,-1.000,0.000,0.000,0.554,0.023,0.871,1
sofa,-2.793,0.895,4.126,1.000,0.000,0.000,0.000,1.000,0.000,2.373,0.449,0.508,2
sofa,-2.408,0.418,0.475,0.000,1.000,0.000,-1.000,0.000,0.000,0.597,1.256,0.482,2
table,-2.411,2.239,0.277,0.000,1.000,0.000,-1.000,0.000,0.000,0.722,0.519,0.272,0
table,-4.031,0.283,0.405,-0.383,-0.924,0.000,0.924,-0.383,0.000,1.232,0.478,0.403,0
