label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,0.682,-14.733,1.089,1.000,0.000,0.000,0.000,1.000,0.000,0.212,0.172,0.164,0
other,-1.084,-11.490,1.833,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.081,0.077,0.296,-1
other,-2.351,-10.297,0.999,1.000,0.000,0.000,0.000,1.000,0.000,2.193,1.124,0.278,-1
other,-1.085,-12.032,1.844,0.924,0.383,-0.000,-0.383,0.924,0.000,0.078,0.077,0.306,-1
decor,-4.373,-9.437,1.059,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.299,0.262,0.209,0
storage,-0.035,-14.742,1.937,1.000,0.000,0.000,0.000,1.000,0.000,0.944,0.179,0.743,1
storage,-1.532,-9.403,2.372,1.000,0.000,0.000,0.000,1.000,0.000,0.708,0.228,0.652,1
other,-2.182,-11.522,0.797,0.707,0.707,0.000,-0.707,0.707,0.000,0.180,0.172,0.106,-1
storage,-4.136,-12.360,1.455,0.000,1.000,-0.000,-1.000,0.000,0.000,1.073,0.417,1.427,1
other,-3.558,-9.645,0.786,1.000,0.000,0.000,0.000,1.000,0.000,0.222,0.137,0.107,-1
storage,-4.377,-11.081,1.800,0.000,1.000,-0.000,-1.000,0.000,0.000,0.287,0.168,0.586,1
other,-3.812,-9.944,0.784,0.707,0.707,0.000,-0.707,0.707,0.000,0.106,0.092,0.049,-1
storage,-0.753,-14.101,1.457,1.000,0.000,0.000,0.000,1.000,0.000,1.897,0.815,1.421,1
picture,0.599,-9.542,2.768,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.156,0.102,0.161,1
other,-1.881,-12.058,0.894,0.000,1.000,0.000,-1.000,0.000,0.000,0.932,0.678,0.062,-1
other,-4.087,-10.205,0.764,0.000,1.000,0.000,-1.000,0.000,0.000,0.216,0.137,0.126,-1
other,0.090,-14.107,0.824,1.000,0.000,0.000,0.000,1.000,0.000,1.054,0.803,0.126,-1
other,-1.060,-12.603,1.828,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.078,0.074,0.296,-1
