label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,15.178,-11.394,1.308,0.000,1.000,0.000,-1.000,0.000,0.000,0.247,0.147,0.218,1
storage,12.266,-8.584,0.906,0.000,1.000,0.000,-1.000,0.000,0.000,0.256,0.188,0.195,1
other,13.597,-8.222,0.758,1.000,0.000,0.000,0.000,1.000,0.000,0.945,0.285,0.068,-1
chair,12.771,-11.993,0.556,0.383,0.924,-0.000,-0.924,0.383,0.000,0.318,0.296,0.535,2
table,13.557,-12.185,0.290,1.000,0.000,0.000,0.000,1.000,0.000,0.318,0.312,0.263,0
storage,13.613,-8.205,0.392,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.988,0.331,0.385,1
picture,13.652,-7.995,1.440,1.000,0.000,0.000,0.000,1.000,0.000,0.538,0.103,0.723,1
table,12.293,-8.682,0.461,0.000,1.000,0.000,-1.000,0.000,0.000,0.561,0.303,0.435,0
chair,14.685,-12.005,0.659,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.390,0.317,0.511,2
storage,15.096,-10.981,0.598,0.000,1.000,0.000,-1.000,0.000,0.000,0.693,0.236,0.591,1
picture,15.299,-11.012,1.616,0.000,1.000,0.000,-1.000,0.000,0.000,0.519,0.035,0.417,1
decor,13.562,-12.200,0.923,0.707,0.707,-0.000,-0.707,0.707,0.000,0.177,0.175,0.397,0
