label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-17.195,6.462,3.045,0.000,1.000,0.000,-1.000,0.000,0.000,0.652,0.325,0.529,0
sofa,-11.940,4.634,2.997,0.924,0.383,-0.000,-0.383,0.924,0.000,0.832,0.506,0.476,2
sofa,-15.687,0.913,3.148,0.707,0.707,-0.000,-0.707,0.707,0.000,0.432,0.396,0.507,2
sofa,-13.892,0.872,3.045,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.304,0.359,0.373,2
picture,-9.079,3.807,4.206,0.000,1.000,-0.000,-1.000,0.000,0.000,0.531,0.090,0.803,1
chair,-14.527,4.078,2.849,1.000,0.000,0.000,0.000,1.000,0.000,0.341,0.309,0.308,2
other,-12.735,2.573,2.850,1.000,0.000,0.000,0.000,1.000,0.000,0.375,0.358,0.334,-1
other,-9.828,5.768,3.056,0.000,1.000,0.000,-1.000,0.000,0.000,0.790,0.469,0.546,-1
sofa,-12.020,6.475,2.998,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.835,0.551,0.474,2
picture,-9.070,7.732,4.207,0.000,1.000,-0.000,-1.000,0.000,0.000,0.534,0.072,0.802,1
decor,-12.670,2.592,3.948,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.182,0.118,0.337,0
picture,-16.428,8.414,3.994,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.555,0.020,0.719,1
picture,-10.963,8.416,4.022,1.000,0.000,0.000,0.000,1.000,0.000,0.493,0.030,0.641,1
chair,-14.530,4.980,2.848,1.000,0.000,0.000,0.000,1.000,0.000,0.346,0.313,0.306,2
table,-17.194,2.546,3.039,0.000,1.000,0.000,-1.000,0.000,0.000,0.634,0.309,0.514,0
picture,-17.515,0.945,4.010,0.000,1.000,-0.000,-1.000,0.000,0.000,0.333,0.006,0.481,1
bed,-16.237,4.541,3.171,1.000,-0.000,-0.000,0.000,1.000,-0.000,1.085,1.172,0.259,2
