label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-2.255,-1.698,-2.520,0.000,1.000,0.000,-1.000,0.000,0.000,0.297,0.110,0.106,0
table,-2.367,-1.736,-2.783,0.000,1.000,-0.000,-1.000,0.000,0.000,0.324,0.194,0.375,0
storage,-6.816,-7.527,-1.902,1.000,0.000,0.000,0.000,1.000,0.000,3.252,0.098,1.218,1
chair,-2.540,-3.502,-2.496,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.393,0.320,0.533,2
storage,-2.544,-4.328,-2.284,0.000,1.000,-0.000,-1.000,0.000,0.000,0.578,0.396,0.917,1
table,-7.336,-6.125,-2.835,0.924,0.383,0.000,-0.383,0.924,0.000,0.646,0.382,0.328,0
chair,-7.329,-6.568,-2.840,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.198,0.244,0.203,2
other,-2.458,-5.694,-2.600,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.328,0.295,0.173,-1
storage,-2.377,-6.338,-2.787,0.000,1.000,0.000,-1.000,0.000,0.000,0.420,0.204,0.396,1
chair,-7.203,-4.455,-2.611,0.000,1.000,-0.000,-1.000,0.000,0.000,0.390,0.371,0.427,2
sofa,-10.289,-6.862,-2.507,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.440,0.519,0.441,2
chair,-7.230,-5.325,-2.618,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.317,0.281,0.400,2
