label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-0.435,7.000,4.002,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.335,0.370,0.456,2
chair,0.548,8.908,0.561,0.707,0.707,-0.000,-0.707,0.707,0.000,0.318,0.182,0.541,2
storage,-0.384,9.649,0.467,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.958,0.133,0.464,1
storage,-4.118,9.824,1.897,1.000,0.000,0.000,0.000,1.000,0.000,1.145,0.497,0.964,1
storage,0.638,5.979,0.474,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.862,0.320,0.455,1
chair,0.259,9.764,4.060,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.540,0.526,0.568,2
table,0.592,8.207,0.405,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.715,0.713,0.394,0
other,-2.237,7.950,0.893,1.000,0.000,0.000,0.000,1.000,0.000,1.244,0.727,0.159,-1
other,-0.106,9.914,0.960,1.000,0.000,0.000,0.000,1.000,0.000,1.668,0.398,0.050,-1
chair,1.309,8.343,0.564,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.416,0.256,0.545,2
chair,0.854,7.463,0.553,0.000,1.000,0.000,-1.000,0.000,0.000,0.285,0.389,0.545,2
storage,0.041,10.083,1.953,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.539,0.256,0.993,1
storage,0.348,5.626,1.987,1.000,0.000,0.000,0.000,1.000,0.000,0.442,0.224,0.718,1
chair,-1.039,9.820,4.057,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.512,0.493,0.577,2
storage,1.123,5.747,1.861,1.000,0.000,0.000,0.000,1.000,0.000,0.431,0.320,0.895,1
chair,0.660,5.997,4.185,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.376,0.219,0.285,2
storage,-4.663,7.793,1.076,0.000,1.000,-0.000,-1.000,0.000,0.000,0.688,0.092,1.090,1
decor,0.588,8.160,1.248,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.395,0.194,0.466,0
storage,-3.701,9.139,0.439,1.000,0.000,0.000,0.000,1.000,0.000,1.079,0.645,0.460,1
chair,0.073,7.714,0.551,0.707,0.707,-0.000,-0.707,0.707,0.000,0.390,0.352,0.545,2
other,-3.918,9.809,0.882,1.000,0.000,0.000,0.000,1.000,0.000,1.382,0.503,0.099,-1
other,-2.334,8.329,0.853,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.381,0.273,0.147,-1
storage,-4.817,8.332,1.455,0.000,1.000,-0.000,-1.000,0.000,0.000,1.331,0.219,1.470,1
chair,0.014,8.599,0.542,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.412,0.404,0.538,2
other,0.735,5.751,0.844,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.819,0.325,0.134,-1
