label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-7.402,25.097,1.090,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.493,0.228,1.091,1
picture,-7.019,24.203,1.071,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.437,0.091,0.922,1
storage,-3.165,26.612,1.102,-0.383,0.924,0.000,-0.924,-0.383,0.000,1.691,0.469,1.086,1
storage,-4.505,24.681,1.118,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.915,0.208,1.107,1
table,-4.637,26.389,0.276,0.000,1.000,0.000,-1.000,0.000,0.000,0.699,0.675,0.277,0
storage,-5.363,27.848,1.132,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.856,0.156,1.049,1
storage,-7.842,26.759,0.545,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.677,0.340,0.546,1
other,-8.222,27.979,0.334,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.211,0.203,0.345,-1
storage,-6.965,23.155,0.437,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.557,0.335,0.466,1
storage,-8.071,26.796,1.619,0.924,0.383,-0.000,-0.383,0.924,0.000,0.167,0.780,0.410,1
