label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,14.694,11.714,4.693,0.000,1.000,0.000,-1.000,0.000,0.000,0.235,0.062,0.215,-1
table,13.936,11.686,4.526,0.000,1.000,-0.000,-1.000,0.000,0.000,0.305,0.285,0.402,0
picture,13.662,5.959,1.586,1.000,0.000,0.000,0.000,1.000,0.000,0.520,0.025,1.073,1
picture,9.505,11.287,1.240,0.000,1.000,-0.000,-1.000,0.000,0.000,0.127,0.018,0.152,1
other,15.953,6.743,4.668,0.000,1.000,-0.000,-1.000,0.000,0.000,0.392,0.289,0.444,-1
picture,12.647,5.959,1.619,1.000,0.000,0.000,0.000,1.000,0.000,0.542,0.034,1.132,1
decor,10.338,11.551,1.137,0.924,0.383,-0.000,-0.383,0.924,0.000,0.183,0.122,0.240,0
picture,9.509,11.295,1.631,0.000,1.000,-0.000,-1.000,0.000,0.000,0.133,0.019,0.161,1
other,13.275,8.294,4.713,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.247,0.172,0.269,-1
tv,16.546,8.266,1.689,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.809,0.051,0.484,2
picture,15.184,11.153,1.530,0.000,1.000,-0.000,-1.000,0.000,0.000,0.509,0.042,0.642,1
sofa,16.038,10.005,4.522,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.195,0.556,0.333,2
decor,15.541,6.471,4.475,1.000,0.000,0.000,0.000,1.000,0.000,0.153,0.116,0.355,0
table,12.768,11.176,4.614,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.321,0.642,0.490,0
sofa,13.350,11.142,4.649,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.332,0.313,0.534,2
chair,14.648,11.341,0.897,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.481,0.485,0.910,2
storage,10.653,11.735,2.100,1.000,0.000,0.000,0.000,1.000,0.000,0.486,0.140,0.678,1
storage,10.318,11.592,0.477,1.000,0.000,0.000,0.000,1.000,0.000,0.835,0.263,0.496,1
other,15.046,9.792,4.707,1.000,0.000,0.000,0.000,1.000,0.000,0.220,0.068,0.208,-1
