label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-13.861,27.867,1.136,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.373,0.108,0.492,1
storage,-9.196,28.361,1.136,0.000,1.000,-0.000,-1.000,0.000,0.000,0.459,0.124,1.135,1
other,-12.281,29.455,2.177,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.070,0.037,0.093,-1
picture,-11.720,26.824,1.705,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.740,0.149,0.600,1
other,-13.929,29.989,0.123,0.000,1.000,0.000,-1.000,0.000,0.000,0.734,0.532,0.065,-1
decor,-12.620,26.895,1.944,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.161,0.079,0.209,0
picture,-14.071,28.776,1.126,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.374,0.129,0.503,1
other,-13.278,26.931,0.118,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.531,0.480,0.082,-1
other,-12.717,27.326,0.145,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.145,0.130,0.116,-1
other,-11.758,27.101,0.752,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.955,0.446,0.289,-1
other,-12.431,30.881,0.208,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.108,0.078,0.129,-1
other,-12.065,30.826,0.346,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.292,0.255,0.159,-1
