label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-0.723,-17.062,0.057,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.792,0.522,0.023,-1
storage,0.677,-17.664,1.926,-0.383,-0.924,0.000,0.924,-0.383,0.000,1.148,0.590,0.693,1
storage,-0.599,-15.534,1.267,1.000,0.000,0.000,0.000,1.000,0.000,1.192,0.296,1.288,1
storage,-0.151,-18.333,0.528,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.483,0.342,0.549,1
storage,-1.730,-18.179,1.249,1.000,0.000,0.000,0.000,1.000,0.000,0.700,0.032,1.179,1
storage,0.346,-17.311,0.441,0.000,1.000,0.000,-1.000,0.000,0.000,0.929,0.087,0.416,1
storage,-1.057,-18.195,1.962,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.781,0.019,0.479,1
storage,0.513,-16.168,1.292,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.463,0.317,1.257,1
other,-2.218,-17.724,0.347,1.000,0.000,0.000,0.000,1.000,0.000,0.201,0.184,0.298,-1
other,-1.632,-17.703,0.692,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.909,0.267,0.660,-1
decor,0.836,-16.797,1.186,1.000,0.000,0.000,0.000,1.000,0.000,0.125,0.112,0.259,0
storage,0.051,-15.543,1.912,1.000,0.000,0.000,0.000,1.000,0.000,0.614,0.143,0.651,1
other,0.324,-17.600,0.905,0.000,1.000,0.000,-1.000,0.000,0.000,1.213,0.640,0.338,-1
other,0.081,-15.483,0.900,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.618,0.319,0.065,-1
other,0.627,-17.235,0.776,0.000,1.000,0.000,-1.000,0.000,0.000,0.275,0.208,0.146,-1
