label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,1.355,6.934,-1.028,1.000,0.000,0.000,0.000,1.000,0.000,0.422,0.032,0.507,1
sofa,1.031,2.672,-2.667,0.000,1.000,-0.000,-1.000,0.000,0.000,0.473,1.423,0.487,2
decor,-0.535,6.508,-2.680,0.000,1.000,0.000,-1.000,0.000,0.000,0.466,0.449,0.452,0
table,-0.110,5.525,-2.421,1.000,0.000,0.000,0.000,1.000,0.000,0.232,0.188,0.160,0
table,1.330,4.762,-2.755,1.000,0.000,0.000,0.000,1.000,0.000,0.544,0.539,0.053,0
table,-0.108,3.335,-2.743,0.000,1.000,-0.000,-1.000,0.000,0.000,0.349,0.298,0.358,0
table,2.656,3.236,-2.812,1.000,0.000,0.000,0.000,1.000,0.000,0.312,0.309,0.301,0
decor,-0.145,3.234,-2.177,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.242,0.238,0.413,0
other,1.355,6.901,-2.378,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.048,0.147,0.765,-1
decor,2.712,3.120,-2.195,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.250,0.246,0.409,0
decor,3.209,6.526,-2.732,1.000,0.000,0.000,0.000,1.000,0.000,0.433,0.420,0.412,0
chair,-0.305,4.870,-2.646,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.514,0.442,0.455,2
sofa,1.278,3.211,-2.667,0.000,1.000,-0.000,-1.000,0.000,0.000,0.519,1.203,0.487,2
chair,3.113,4.870,-2.663,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.542,0.434,0.461,2
decor,-0.575,2.749,-2.716,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.722,0.389,0.433,0
