label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-5.403,-13.715,0.414,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.352,0.371,0.439,2
chair,-6.012,-14.597,0.422,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.325,0.327,0.450,2
storage,-12.126,-14.923,0.523,0.000,1.000,0.000,-1.000,0.000,0.000,1.940,0.443,0.600,1
table,-5.386,-14.768,0.577,0.000,1.000,0.000,-1.000,0.000,0.000,1.231,0.541,0.101,0
sofa,-6.041,-10.384,0.368,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.490,0.691,0.444,2
decor,-3.054,-6.742,0.228,0.000,1.000,0.000,-1.000,0.000,0.000,0.447,0.424,0.317,0
chair,-4.825,-14.315,0.415,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.405,0.389,0.455,2
decor,2.106,-17.934,0.555,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.381,0.368,0.528,0
chair,-5.310,-16.244,0.427,0.000,1.000,0.000,-1.000,0.000,0.000,0.375,0.451,0.449,2
picture,4.185,-10.160,1.381,0.000,1.000,-0.000,-1.000,0.000,0.000,0.498,0.061,1.167,1
chair,-5.826,-15.339,0.420,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.492,0.358,0.451,2
chair,-4.731,-15.232,0.415,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.344,0.324,0.456,2
decor,-2.168,-17.935,0.500,0.000,1.000,-0.000,-1.000,0.000,0.000,0.353,0.342,0.497,0
tv,-12.554,-14.292,2.228,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.079,0.670,0.411,2
decor,3.055,-6.703,0.213,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.443,0.428,0.321,0
table,-8.789,-15.042,0.263,0.000,1.000,0.000,-1.000,0.000,0.000,0.353,0.346,0.300,0
sofa,-8.248,-14.493,0.394,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.273,1.246,0.434,2
