label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
bed,2.292,0.016,7.089,0.924,0.383,0.000,-0.383,0.924,0.000,1.223,1.167,0.172,2
decor,6.381,-1.019,7.297,0.000,1.000,-0.000,-1.000,0.000,0.000,0.369,0.359,0.587,0
picture,1.843,3.653,8.597,1.000,0.000,0.000,0.000,1.000,0.000,0.208,0.013,0.203,1
decor,1.775,-1.549,7.405,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.205,0.180,0.266,0
sofa,4.919,2.938,7.144,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.569,0.853,0.424,2
chair,5.476,2.013,6.944,0.707,0.707,-0.000,-0.707,0.707,0.000,0.241,0.238,0.243,2
picture,2.316,3.670,8.574,1.000,0.000,0.000,0.000,1.000,0.000,0.208,0.016,0.208,1
decor,1.143,1.355,7.599,0.707,0.707,-0.000,-0.707,0.707,0.000,0.208,0.201,0.439,0
table,4.315,2.079,6.919,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.716,0.429,0.215,0
chair,6.199,-2.000,7.206,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.702,0.384,0.268,2
table,1.159,1.319,7.008,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.388,0.268,0.203,0
table,1.810,-1.571,7.016,0.000,1.000,0.000,-1.000,0.000,0.000,0.405,0.309,0.309,0
picture,1.436,3.636,8.588,1.000,0.000,0.000,0.000,1.000,0.000,0.236,0.016,0.213,1
