label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,3.283,0.163,4.563,0.000,1.000,0.000,-1.000,0.000,0.000,0.606,0.177,0.107,-1
other,3.760,0.162,4.952,0.000,1.000,0.000,-1.000,0.000,0.000,0.604,0.169,0.131,-1
other,4.399,0.161,5.493,0.000,1.000,0.000,-1.000,0.000,0.000,0.599,0.114,0.358,-1
other,2.588,0.141,3.987,0.000,1.000,0.000,-1.000,0.000,0.000,0.584,0.180,0.096,-1
other,2.398,0.161,3.860,0.000,1.000,0.000,-1.000,0.000,0.000,0.603,0.264,0.189,-1
other,2.804,0.163,4.186,0.000,1.000,0.000,-1.000,0.000,0.000,0.605,0.192,0.152,-1
other,3.523,0.162,4.763,0.000,1.000,0.000,-1.000,0.000,0.000,0.604,0.172,0.137,-1
other,3.985,0.164,5.140,0.000,1.000,0.000,-1.000,0.000,0.000,0.600,0.162,0.148,-1
other,3.043,0.163,4.380,0.000,1.000,0.000,-1.000,0.000,0.000,0.606,0.182,0.149,-1
other,4.220,0.161,5.277,0.000,1.000,0.000,-1.000,0.000,0.000,0.597,0.165,0.172,-1
