label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-3.335,-8.531,1.356,0.000,1.000,0.000,-1.000,0.000,0.000,0.145,0.010,0.111,1
picture,-3.350,-11.292,1.618,0.000,1.000,-0.000,-1.000,0.000,0.000,0.088,0.011,0.119,1
other,-2.478,-11.725,2.919,0.707,0.707,0.000,-0.707,0.707,0.000,0.229,0.228,0.053,-1
picture,-3.345,-11.316,1.851,0.000,1.000,-0.000,-1.000,0.000,0.000,0.064,0.009,0.097,1
picture,-3.267,-7.085,1.696,1.000,0.000,0.000,0.000,1.000,0.000,0.168,0.017,0.248,1
picture,-1.572,-10.886,1.656,0.000,1.000,0.000,-1.000,0.000,0.000,0.684,0.017,0.443,1
picture,-1.568,-8.132,1.630,0.000,1.000,-0.000,-1.000,0.000,0.000,0.223,0.025,0.299,1
other,-2.456,-8.934,2.841,0.707,0.707,0.000,-0.707,0.707,0.000,0.234,0.227,0.064,-1
picture,-3.328,-8.780,1.530,0.000,1.000,0.000,-1.000,0.000,0.000,0.339,0.015,0.238,1
picture,-3.342,-10.520,1.658,0.000,1.000,-0.000,-1.000,0.000,0.000,0.127,0.012,0.127,1
picture,-3.347,-10.927,1.787,0.000,1.000,0.000,-1.000,0.000,0.000,0.280,0.009,0.205,1
picture,-3.329,-8.203,1.708,0.000,1.000,0.000,-1.000,0.000,0.000,0.199,0.010,0.174,1
picture,-3.331,-8.064,1.383,0.000,1.000,-0.000,-1.000,0.000,0.000,0.099,0.008,0.116,1
picture,-3.335,-8.165,1.382,0.000,1.000,0.000,-1.000,0.000,0.000,0.208,0.009,0.134,1
picture,-3.346,-10.510,1.739,0.000,1.000,-0.000,-1.000,0.000,0.000,0.153,0.010,0.224,1
picture,-3.330,-8.820,1.745,0.000,1.000,0.000,-1.000,0.000,0.000,0.115,0.008,0.088,1
picture,-1.557,-8.797,1.371,0.000,1.000,0.000,-1.000,0.000,0.000,0.208,0.010,0.175,1
picture,-3.326,-8.991,1.785,0.000,1.000,0.000,-1.000,0.000,0.000,0.096,0.007,0.080,1
picture,-1.567,-8.784,1.785,0.000,1.000,0.000,-1.000,0.000,0.000,0.287,0.015,0.239,1
