label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-11.091,13.206,5.849,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.162,0.153,0.520,0
decor,-16.756,17.922,5.539,0.000,1.000,-0.000,-1.000,0.000,0.000,0.484,0.367,1.087,0
picture,-14.466,11.460,6.379,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.207,0.010,0.268,1
sofa,-15.650,13.620,4.849,0.000,1.000,0.000,-1.000,0.000,0.000,0.482,0.525,0.425,2
decor,-11.092,11.061,5.689,0.707,0.707,-0.000,-0.707,0.707,0.000,0.172,0.159,0.381,0
picture,-17.085,15.058,5.982,0.000,1.000,-0.000,-1.000,0.000,0.000,0.556,0.034,0.562,1
picture,-16.247,11.458,6.451,1.000,0.000,0.000,0.000,1.000,0.000,0.216,0.015,0.237,1
picture,-10.477,11.481,5.865,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.338,0.025,0.753,1
tv,-13.988,17.970,5.697,0.383,-0.924,0.000,0.924,0.383,-0.000,0.080,0.643,0.368,2
decor,-13.767,13.241,5.873,1.000,0.000,0.000,0.000,1.000,0.000,0.187,0.130,0.568,0
picture,-16.474,11.471,5.926,1.000,0.000,0.000,0.000,1.000,0.000,0.257,0.014,0.206,1
bed,-12.375,14.715,5.711,0.000,1.000,0.000,-1.000,0.000,0.000,1.198,1.246,1.258,2
picture,-10.480,11.475,6.367,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.224,0.011,0.194,1
picture,-16.783,11.453,6.461,1.000,0.000,0.000,0.000,1.000,0.000,0.195,0.014,0.206,1
picture,-14.476,11.467,5.802,1.000,0.000,0.000,0.000,1.000,0.000,0.237,0.007,0.185,1
picture,-12.443,13.337,6.032,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.372,0.027,0.518,1
other,-8.266,15.058,5.095,0.000,1.000,0.000,-1.000,0.000,0.000,0.937,0.454,0.676,-1
