label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-12.695,3.963,0.039,0.000,1.000,-0.000,-1.000,0.000,0.000,0.755,0.037,0.918,1
decor,-16.604,5.066,-0.696,1.000,0.000,0.000,0.000,1.000,0.000,0.148,0.088,0.127,0
table,-16.310,5.112,-1.175,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.648,0.254,0.389,0
other,-17.775,1.164,-0.538,0.000,1.000,0.000,-1.000,0.000,0.000,1.025,0.513,0.957,-1
picture,-16.279,5.347,0.012,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.533,0.011,0.649,1
picture,-14.944,-2.858,0.123,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.378,0.028,0.408,1
table,-15.391,1.338,-0.855,1.000,0.000,0.000,0.000,1.000,0.000,0.140,0.115,0.173,0
table,-15.649,1.032,-1.186,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.704,0.694,0.211,0
table,-15.345,0.858,-0.977,1.000,0.000,0.000,0.000,1.000,0.000,0.223,0.171,0.050,0
table,-15.864,1.303,-0.952,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.150,0.078,0.077,0
sofa,-13.828,0.804,-1.114,-1.000,0.000,0.000,0.000,-1.000,0.000,0.571,1.318,0.413,2
sofa,-15.661,3.105,-1.161,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.602,1.325,0.403,2
decor,-16.022,5.096,-0.819,1.000,0.000,0.000,0.000,1.000,0.000,0.196,0.188,0.059,0
decor,-13.332,-2.460,-0.161,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.843,0.486,1.304,0
table,-16.041,0.631,-0.957,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.138,0.111,0.063,0
table,-15.754,0.888,-0.717,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.178,0.176,0.291,0
picture,-17.445,1.159,0.835,0.000,1.000,0.000,-1.000,0.000,0.000,0.622,0.069,0.512,1
decor,-17.373,1.893,0.664,0.000,1.000,-0.000,-1.000,0.000,0.000,0.094,0.049,0.265,0
