label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-7.123,-28.773,0.304,0.000,1.000,0.000,-1.000,0.000,0.000,0.806,0.450,0.268,0
table,-8.654,-30.529,0.558,0.000,1.000,0.000,-1.000,0.000,0.000,0.488,0.474,0.043,0
sofa,-7.178,-30.507,0.488,0.000,1.000,0.000,-1.000,0.000,0.000,0.521,1.038,0.448,2
picture,-4.909,-28.046,1.831,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.154,0.060,0.154,1
sofa,-8.608,-29.036,0.462,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.526,1.125,0.443,2
tv,-4.872,-29.372,1.145,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.656,0.071,0.418,2
table,-6.090,-30.367,0.339,0.000,1.000,0.000,-1.000,0.000,0.000,0.295,0.146,0.220,0
picture,-5.750,-30.933,1.662,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.354,0.103,0.426,1
chair,-8.423,-27.645,0.256,0.000,1.000,-0.000,-1.000,0.000,0.000,0.180,0.168,0.243,2
storage,-5.022,-28.835,1.292,-0.000,-1.000,-0.000,1.000,-0.000,0.000,2.201,0.235,1.283,1
picture,-9.050,-28.983,1.629,0.000,1.000,0.000,-1.000,0.000,0.000,0.418,0.077,0.356,1
