label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-9.428,-0.982,1.868,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.259,0.030,0.310,1
picture,-9.609,2.432,1.488,1.000,0.000,0.000,0.000,1.000,0.000,0.461,0.070,0.628,1
picture,-5.611,1.045,1.488,0.000,1.000,-0.000,-1.000,0.000,0.000,0.419,0.016,0.649,1
picture,-8.810,2.415,1.787,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.440,0.084,0.289,1
other,-12.069,4.861,1.362,1.000,0.000,0.000,0.000,1.000,0.000,0.972,0.153,1.346,-1
picture,-8.987,2.337,1.208,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.528,0.075,0.370,1
sofa,-7.437,1.096,3.667,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.477,0.410,0.503,2
table,-9.323,0.982,3.507,1.000,0.000,0.000,0.000,1.000,0.000,1.116,0.295,0.472,0
decor,-6.703,-0.341,1.561,0.924,0.383,-0.000,-0.383,0.924,0.000,0.892,0.512,1.414,0
table,-9.151,2.172,0.524,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.180,0.306,0.500,0
other,-6.989,3.721,1.381,0.000,1.000,-0.000,-1.000,0.000,0.000,1.292,0.064,1.355,-1
table,-6.908,1.466,3.434,0.924,0.383,-0.000,-0.383,0.924,0.000,0.258,0.191,0.283,0
table,-12.137,1.311,3.731,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.688,0.321,0.674,0
picture,-9.427,-0.982,1.278,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.260,0.030,0.279,1
