label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-11.417,3.727,0.959,0.000,1.000,-0.000,-1.000,0.000,0.000,0.384,0.225,0.967,0
picture,-1.982,4.505,-0.936,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.376,0.039,0.365,1
picture,-2.452,7.437,1.989,1.000,0.000,0.000,0.000,1.000,0.000,0.523,0.060,0.512,1
sofa,-10.134,4.171,0.603,1.000,0.000,0.000,0.000,1.000,0.000,0.410,0.397,0.528,2
decor,-8.967,8.371,0.958,0.383,0.924,-0.000,-0.924,0.383,0.000,0.367,0.319,0.922,0
other,-10.034,5.955,1.413,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.807,0.380,1.422,-1
picture,-5.559,7.442,1.668,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.439,0.029,0.579,1
sofa,-8.689,7.333,0.611,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.400,0.382,0.492,2
decor,-0.652,6.885,0.910,0.924,0.383,-0.000,-0.383,0.924,0.000,0.518,0.349,0.918,0
picture,-1.991,4.483,-0.961,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.349,0.059,0.354,1
sofa,-2.465,6.983,0.655,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.460,0.932,0.661,2
