label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-3.928,-11.123,-2.834,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.375,0.338,0.453,2
chair,-5.974,-13.638,-2.743,0.707,0.707,0.000,-0.707,0.707,0.000,0.474,0.393,0.360,2
other,-6.089,-10.298,0.434,0.383,0.924,0.000,-0.924,0.383,0.000,0.503,0.363,0.397,-1
table,-4.607,-11.848,-2.530,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.983,0.965,0.149,0
chair,-3.761,-12.198,-2.828,-1.000,0.000,0.000,0.000,-1.000,0.000,0.379,0.492,0.436,2
chair,-5.289,-12.582,-2.866,0.707,0.707,-0.000,-0.707,0.707,0.000,0.317,0.331,0.473,2
chair,-5.467,-11.439,-2.862,0.924,-0.383,0.000,0.383,0.924,-0.000,0.355,0.514,0.475,2
storage,-3.297,-9.687,0.497,0.000,1.000,0.000,-1.000,0.000,0.000,0.933,0.288,0.491,1
chair,-4.902,-10.976,-2.848,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.389,0.332,0.462,2
chair,-4.309,-12.807,-2.785,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.324,0.356,0.393,2
table,-6.310,-11.492,0.496,0.000,1.000,0.000,-1.000,0.000,0.000,0.464,0.248,0.462,0
