label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-3.604,11.326,-2.373,0.924,0.383,-0.000,-0.383,0.924,0.000,0.202,0.148,0.302,0
table,-0.471,9.684,-3.312,0.000,1.000,0.000,-1.000,0.000,0.000,0.474,0.474,0.267,0
picture,1.419,4.745,-2.023,0.000,1.000,-0.000,-1.000,0.000,0.000,0.247,0.067,0.294,1
sofa,-0.388,11.034,-3.132,-0.000,-1.000,-0.000,1.000,-0.000,0.000,0.652,0.632,0.453,2
table,-3.635,11.415,-3.181,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.395,0.272,0.404,0
picture,0.504,11.595,-2.093,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.201,0.045,0.247,1
table,-4.049,3.940,-2.917,0.000,1.000,0.000,-1.000,0.000,0.000,0.508,0.155,0.128,0
picture,1.456,3.897,-2.070,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.099,0.049,0.247,1
sofa,0.531,9.657,-3.135,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.686,0.643,0.450,2
picture,1.434,3.228,-2.070,0.000,1.000,-0.000,-1.000,0.000,0.000,0.237,0.058,0.294,1
picture,1.167,10.477,-2.093,0.000,1.000,-0.000,-1.000,0.000,0.000,0.223,0.044,0.247,1
picture,1.177,9.749,-2.093,0.000,1.000,-0.000,-1.000,0.000,0.000,0.247,0.044,0.270,1
table,-3.913,10.557,0.351,0.000,1.000,0.000,-1.000,0.000,0.000,0.429,0.356,0.333,0
