label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,1.343,-2.740,0.820,1.000,0.000,0.000,0.000,1.000,0.000,0.098,0.081,0.278,0
other,1.655,-5.619,0.965,1.000,0.000,0.000,0.000,1.000,0.000,1.126,0.318,0.923,-1
picture,-0.810,-5.385,1.663,0.000,1.000,0.000,-1.000,0.000,0.000,0.552,0.040,0.449,1
chair,3.542,-1.867,0.595,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.527,0.543,0.568,2
storage,-0.175,-6.019,0.459,1.000,0.000,0.000,0.000,1.000,0.000,0.683,0.188,0.433,1
chair,2.721,-1.212,0.400,1.000,0.000,0.000,0.000,1.000,0.000,0.437,0.411,0.385,2
decor,4.128,-4.833,1.244,0.000,1.000,-0.000,-1.000,0.000,0.000,0.265,0.263,0.446,0
storage,3.358,-6.011,0.484,1.000,0.000,0.000,0.000,1.000,0.000,0.634,0.171,0.430,1
chair,4.386,-3.952,0.635,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.475,0.450,0.482,2
chair,4.022,-4.831,0.466,0.000,1.000,-0.000,-1.000,0.000,0.000,0.407,0.396,0.426,2
decor,1.479,-2.623,0.791,0.924,0.383,-0.000,-0.383,0.924,0.000,0.060,0.048,0.240,0
storage,2.654,0.551,1.208,1.000,0.000,0.000,0.000,1.000,0.000,0.777,0.291,1.213,1
sofa,1.048,-1.991,0.493,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.519,1.466,0.472,2
table,1.530,-2.553,0.331,1.000,0.000,0.000,0.000,1.000,0.000,0.621,0.619,0.274,0
decor,2.582,0.664,1.407,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.235,0.212,0.147,0
tv,1.658,-5.735,2.470,1.000,0.000,0.000,0.000,1.000,0.000,0.827,0.064,0.561,2
decor,1.640,-2.781,0.813,0.924,0.383,-0.000,-0.383,0.924,0.000,0.062,0.060,0.251,0
