label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-7.883,-21.687,0.644,0.383,0.924,-0.000,-0.924,0.383,0.000,0.254,0.502,0.649,1
sofa,-5.412,-22.067,0.462,0.383,0.924,-0.000,-0.924,0.383,0.000,0.628,1.198,0.492,2
storage,-4.198,-22.806,1.039,0.383,0.924,-0.000,-0.924,0.383,0.000,0.225,0.379,0.709,1
table,-4.831,-21.049,0.259,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.706,0.408,0.262,0
bed,-6.536,-19.360,1.143,0.924,-0.383,-0.000,0.383,0.924,-0.000,1.190,0.968,1.147,2
table,-2.716,-20.677,0.377,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.351,0.696,0.407,0
table,-7.058,-18.110,0.417,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.294,0.284,0.419,0
tv,-2.486,-20.448,1.003,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.100,0.314,0.215,2
tv,-4.089,-17.957,1.266,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.114,0.514,0.339,2
table,-7.175,-21.876,0.348,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.392,0.257,0.383,0
chair,-3.193,-20.346,0.281,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.497,0.421,0.300,2
