label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-3.500,-6.738,2.933,0.000,1.000,-0.000,-1.000,0.000,0.000,0.327,0.287,0.408,2
picture,-1.332,-6.437,1.980,0.000,1.000,0.000,-1.000,0.000,0.000,0.196,0.024,0.159,1
bed,-1.880,-6.011,2.917,0.000,1.000,0.000,-1.000,0.000,0.000,1.063,0.574,0.352,2
picture,-1.327,-4.210,1.668,0.000,1.000,-0.000,-1.000,0.000,0.000,0.365,0.023,0.434,1
storage,-2.567,-3.854,2.899,1.000,0.000,0.000,0.000,1.000,0.000,0.490,0.264,0.358,1
picture,-1.330,-5.860,1.895,0.000,1.000,0.000,-1.000,0.000,0.000,0.184,0.025,0.172,1
picture,-1.326,-5.329,1.898,0.000,1.000,-0.000,-1.000,0.000,0.000,0.204,0.022,0.248,1
picture,-1.328,-6.164,4.108,0.000,1.000,0.000,-1.000,0.000,0.000,0.390,0.024,0.268,1
storage,-1.692,-3.894,3.597,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.387,0.301,1.079,1
table,-2.797,-6.766,2.826,1.000,0.000,0.000,0.000,1.000,0.000,0.273,0.248,0.302,0
picture,-1.797,-7.087,1.882,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.201,0.023,0.158,1
decor,-2.790,-6.746,3.401,1.000,0.000,0.000,0.000,1.000,0.000,0.191,0.157,0.315,0
picture,-2.151,-3.631,1.587,1.000,0.000,0.000,0.000,1.000,0.000,0.445,0.029,0.430,1
picture,-3.805,-5.809,4.041,0.000,1.000,0.000,-1.000,0.000,0.000,0.385,0.031,0.293,1
picture,-1.324,-4.220,1.946,0.000,1.000,0.000,-1.000,0.000,0.000,0.177,0.018,0.155,1
picture,-2.512,-3.590,4.011,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.450,0.028,0.619,1
picture,-1.322,-4.830,1.870,0.000,1.000,0.000,-1.000,0.000,0.000,0.193,0.021,0.163,1
picture,-1.512,-3.629,1.647,1.000,0.000,0.000,0.000,1.000,0.000,0.145,0.023,0.197,1
