label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-10.475,-7.088,3.579,0.383,0.924,0.000,-0.924,0.383,0.000,0.619,0.389,0.316,0
decor,-11.584,-8.233,0.017,0.000,1.000,0.000,-1.000,0.000,0.000,0.157,0.156,0.121,0
sofa,-12.929,-6.994,-0.043,1.000,0.000,-0.000,0.000,1.000,0.000,0.683,0.761,0.401,2
table,-14.740,-8.288,3.466,0.000,1.000,0.000,-1.000,0.000,0.000,0.437,0.366,0.232,0
table,-12.391,-10.677,-0.280,-1.000,0.000,0.000,0.000,-1.000,0.000,1.006,0.228,0.164,0
sofa,-10.989,-9.749,0.121,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.475,0.461,0.371,2
other,-10.101,-8.829,1.224,0.000,1.000,0.000,-1.000,0.000,0.000,2.757,0.871,1.667,-1
other,-16.326,-7.163,0.101,0.383,0.924,0.000,-0.924,0.383,0.000,1.298,1.197,0.566,-1
chair,-10.572,-7.349,-0.027,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.506,0.881,0.389,2
table,-11.587,-8.276,-0.232,0.000,1.000,0.000,-1.000,0.000,0.000,0.579,0.573,0.153,0
sofa,-13.090,-9.133,0.086,0.924,0.383,-0.000,-0.383,0.924,0.000,0.505,0.448,0.335,2
