label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-18.503,-0.842,0.616,0.000,1.000,0.000,-1.000,0.000,0.000,2.524,0.329,0.607,1
picture,-11.809,2.133,1.206,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.313,0.018,0.234,1
table,-15.880,-0.619,0.275,0.000,1.000,0.000,-1.000,0.000,0.000,0.738,0.374,0.260,0
other,-11.069,1.680,3.635,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.928,0.492,0.399,-1
table,-18.689,-0.846,0.795,0.000,1.000,0.000,-1.000,0.000,0.000,0.982,0.147,0.212,0
table,-12.168,-0.870,0.226,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.477,0.461,0.206,0
sofa,-15.056,-0.574,0.487,-1.000,0.000,0.000,0.000,-1.000,0.000,1.320,1.656,0.477,2
picture,-11.504,0.227,0.823,0.000,1.000,-0.000,-1.000,0.000,0.000,0.464,0.270,0.808,1
picture,-13.011,2.146,1.501,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.317,0.014,0.478,1
chair,-12.698,-1.925,0.467,0.707,0.707,-0.000,-0.707,0.707,0.000,0.476,0.534,0.452,2
picture,-11.634,2.018,0.516,1.000,0.000,0.000,0.000,1.000,0.000,0.349,0.129,0.508,1
picture,-12.407,2.144,1.527,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.269,0.013,0.365,1
storage,-18.484,-3.573,1.293,1.000,0.000,0.000,0.000,1.000,0.000,0.338,0.284,1.277,1
table,-15.463,-3.589,0.415,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.946,0.286,0.413,0
storage,-18.474,1.598,1.291,0.000,1.000,-0.000,-1.000,0.000,0.000,0.577,0.336,1.280,1
decor,-14.736,-3.528,1.189,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.226,0.193,0.410,0
tv,-18.935,-0.889,1.627,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.048,0.903,0.474,2
storage,-15.190,-2.994,3.682,1.000,0.000,0.000,0.000,1.000,0.000,0.476,0.315,0.455,1
picture,-11.826,2.138,1.727,1.000,0.000,0.000,0.000,1.000,0.000,0.314,0.018,0.321,1
