label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-12.007,11.752,0.323,0.000,1.000,-0.000,-1.000,0.000,0.000,0.251,0.199,0.474,0
decor,-11.079,20.919,0.348,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.278,0.199,0.244,0
decor,-16.169,14.178,0.306,0.000,1.000,-0.000,-1.000,0.000,0.000,0.262,0.225,0.305,0
other,-12.064,11.499,1.831,1.000,0.000,0.000,0.000,1.000,0.000,0.152,0.033,0.218,-1
decor,-10.933,11.754,0.599,0.924,0.383,-0.000,-0.383,0.924,0.000,0.277,0.199,0.309,0
decor,-10.927,19.564,0.405,1.000,0.000,0.000,0.000,1.000,0.000,0.235,0.211,0.425,0
other,-16.376,14.848,1.950,0.000,1.000,-0.000,-1.000,0.000,0.000,0.120,0.025,0.250,-1
decor,-15.823,11.704,0.501,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.260,0.230,0.655,0
decor,-16.267,20.916,0.215,1.000,0.000,0.000,0.000,1.000,0.000,0.265,0.185,0.259,0
other,-10.739,14.872,1.809,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.090,0.031,0.174,-1
decor,-16.263,19.463,0.338,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.275,0.165,0.186,0
decor,-11.084,15.538,0.454,0.000,1.000,-0.000,-1.000,0.000,0.000,0.365,0.333,0.430,0
decor,-16.045,15.442,0.301,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.193,0.183,0.222,0
other,-15.863,11.482,1.656,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.098,0.013,0.044,-1
decor,-11.097,14.157,0.586,0.000,1.000,-0.000,-1.000,0.000,0.000,0.462,0.382,0.556,0
