label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-13.039,3.540,0.559,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.450,0.301,0.507,2
table,-11.553,5.171,0.300,0.000,1.000,0.000,-1.000,0.000,0.000,0.393,0.300,0.249,0
picture,-13.699,3.908,0.950,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.141,0.125,0.117,1
decor,-10.644,5.619,0.538,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.514,0.472,0.498,0
picture,-13.851,3.189,1.648,0.000,1.000,-0.000,-1.000,0.000,0.000,0.220,0.030,0.660,1
table,-11.572,1.931,0.288,0.000,1.000,0.000,-1.000,0.000,0.000,0.351,0.292,0.249,0
decor,-11.609,1.011,1.676,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.341,0.073,0.350,0
bed,-12.781,5.142,0.478,1.000,0.000,0.000,0.000,1.000,0.000,1.095,0.643,0.428,2
decor,-13.744,3.235,1.530,0.000,1.000,-0.000,-1.000,0.000,0.000,0.470,0.132,0.723,0
decor,-13.651,4.135,1.213,1.000,0.000,0.000,0.000,1.000,0.000,0.227,0.156,0.396,0
picture,-13.848,3.555,1.648,0.000,1.000,-0.000,-1.000,0.000,0.000,0.192,0.027,0.649,1
picture,-13.841,4.001,1.647,0.000,1.000,-0.000,-1.000,0.000,0.000,0.254,0.034,0.659,1
bed,-12.789,1.945,0.608,1.000,0.000,0.000,0.000,1.000,0.000,1.092,0.669,0.569,2
