label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,7.388,-4.652,1.971,0.000,1.000,0.000,-1.000,0.000,0.000,0.897,0.074,0.646,1
storage,7.663,-4.678,0.727,0.000,1.000,0.000,-1.000,0.000,0.000,0.963,0.343,0.736,1
table,9.210,-5.264,0.405,0.000,1.000,0.000,-1.000,0.000,0.000,1.412,0.738,0.370,0
decor,7.484,-4.297,1.315,1.000,0.000,0.000,0.000,1.000,0.000,0.145,0.136,0.339,0
table,8.643,-2.851,3.643,0.924,0.383,0.000,-0.383,0.924,0.000,0.384,0.379,0.225,0
chair,9.934,-5.591,0.546,-1.000,0.000,0.000,0.000,-1.000,0.000,0.296,0.344,0.537,2
table,7.539,-5.092,4.017,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.600,0.268,0.616,0
chair,9.225,-4.059,0.553,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.459,0.311,0.544,2
decor,7.560,-4.637,1.286,1.000,0.000,0.000,0.000,1.000,0.000,0.172,0.136,0.192,0
chair,9.888,-4.389,0.550,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.396,0.302,0.540,2
chair,8.586,-5.685,0.562,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.316,0.305,0.540,2
chair,9.927,-4.969,0.546,-1.000,0.000,0.000,0.000,-1.000,0.000,0.288,0.351,0.547,2
decor,7.535,-4.964,1.419,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.203,0.173,0.214,0
chair,8.650,-6.364,0.546,1.000,0.000,0.000,0.000,1.000,0.000,0.374,0.318,0.547,2
picture,9.294,-2.670,1.610,1.000,0.000,0.000,0.000,1.000,0.000,0.309,0.013,0.260,1
sofa,7.467,-3.879,3.940,0.707,0.707,-0.000,-0.707,0.707,0.000,0.457,0.403,0.524,2
chair,8.594,-4.564,0.560,1.000,0.000,0.000,0.000,1.000,0.000,0.395,0.342,0.538,2
storage,10.784,-4.558,3.879,0.000,1.000,0.000,-1.000,0.000,0.000,0.798,0.100,0.473,1
decor,7.452,-5.381,1.134,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.125,0.102,0.180,0
other,9.066,-5.262,0.100,0.000,1.000,0.000,-1.000,0.000,0.000,1.892,1.502,0.133,-1
chair,9.897,-6.194,0.535,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.348,0.400,0.545,2
chair,8.467,-5.100,0.720,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.254,0.356,0.382,2
decor,9.221,-5.194,0.845,0.000,1.000,0.000,-1.000,0.000,0.000,0.270,0.270,0.091,0
chair,9.335,-6.579,0.537,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.297,0.351,0.538,2
