label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,2.949,-8.080,1.772,0.000,1.000,0.000,-1.000,0.000,0.000,0.615,0.014,0.328,1
picture,4.301,-8.849,1.458,0.000,1.000,-0.000,-1.000,0.000,0.000,0.293,0.015,0.433,1
picture,4.302,-6.780,1.542,0.000,1.000,-0.000,-1.000,0.000,0.000,0.293,0.010,0.433,1
picture,2.947,-6.054,1.724,0.000,1.000,0.000,-1.000,0.000,0.000,0.349,0.016,0.252,1
picture,2.948,-6.864,1.724,0.000,1.000,0.000,-1.000,0.000,0.000,0.349,0.013,0.252,1
picture,4.267,-12.358,1.458,0.000,1.000,-0.000,-1.000,0.000,0.000,0.254,0.031,0.573,1
picture,4.285,-5.454,1.528,0.000,1.000,-0.000,-1.000,0.000,0.000,0.308,0.018,0.447,1
picture,4.292,-7.479,1.472,0.000,1.000,-0.000,-1.000,0.000,0.000,0.321,0.019,0.475,1
picture,4.291,-6.062,1.514,0.000,1.000,-0.000,-1.000,0.000,0.000,0.313,0.017,0.461,1
picture,2.945,-7.619,1.710,0.000,1.000,0.000,-1.000,0.000,0.000,0.321,0.009,0.238,1
picture,4.298,-8.136,1.528,0.000,1.000,-0.000,-1.000,0.000,0.000,0.391,0.018,0.531,1
