label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,3.086,-0.896,5.015,0.000,1.000,-0.000,-1.000,0.000,0.000,0.388,0.030,0.663,1
picture,4.850,-3.408,4.967,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.524,0.024,0.539,1
chair,4.296,-2.792,3.877,0.383,0.924,-0.000,-0.924,0.383,0.000,0.388,0.877,0.428,2
decor,6.182,1.524,4.375,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.196,0.190,0.288,0
other,4.408,0.148,2.819,0.000,1.000,0.000,-1.000,0.000,0.000,0.192,0.191,0.015,-1
picture,7.124,-1.088,5.013,0.000,1.000,-0.000,-1.000,0.000,0.000,0.402,0.017,0.426,1
other,4.751,-0.598,3.526,1.000,0.000,0.000,0.000,1.000,0.000,1.702,1.372,0.075,-1
table,6.154,1.445,3.964,1.000,0.000,0.000,0.000,1.000,0.000,0.312,0.239,0.224,0
sofa,3.546,-2.896,3.826,0.707,0.707,0.000,-0.707,0.707,0.000,0.428,0.407,0.341,2
decor,5.333,-3.251,4.329,0.924,0.383,-0.000,-0.383,0.924,0.000,0.095,0.074,0.117,0
table,3.575,1.343,3.928,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.285,0.199,0.120,0
other,3.664,-0.436,2.835,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.188,0.057,0.011,-1
bed,4.798,0.527,3.844,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.145,1.197,0.384,2
decor,4.278,-3.305,4.337,0.924,0.383,0.000,-0.383,0.924,0.000,0.150,0.113,0.138,0
table,4.758,-3.216,4.108,0.000,1.000,0.000,-1.000,0.000,0.000,0.224,0.769,0.151,0
