label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-10.453,22.229,0.937,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.255,0.161,0.910,0
table,-10.405,15.031,0.950,0.924,0.383,0.000,-0.383,0.924,0.000,2.461,1.873,0.955,0
decor,-12.098,20.675,0.565,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.037,0.030,0.103,0
chair,-11.913,21.809,0.461,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.508,0.482,0.404,2
decor,-14.589,10.696,0.256,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.299,0.299,0.172,0
chair,-10.313,20.936,0.416,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.482,0.456,0.418,2
decor,-14.944,12.334,0.532,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.317,0.294,0.518,0
table,-11.650,20.602,0.381,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.636,0.479,0.354,0
decor,-12.954,9.723,0.422,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.261,0.251,0.403,0
decor,-10.901,22.291,0.739,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.228,0.200,0.713,0
