label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-10.073,-10.496,2.559,0.924,-0.383,-0.000,0.383,0.924,0.000,0.067,0.035,0.881,0
decor,-18.220,-6.394,1.104,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.125,0.093,0.160,0
storage,-10.366,-11.858,0.500,1.000,0.000,-0.000,0.000,1.000,0.000,0.316,0.281,0.499,1
storage,-10.553,-7.005,0.371,-0.924,-0.383,0.000,0.383,-0.924,0.000,1.089,0.482,0.394,1
storage,-17.913,-6.262,1.983,0.924,0.383,0.000,-0.383,0.924,0.000,0.581,0.172,0.456,1
tv,-18.188,-8.271,1.373,1.000,0.000,-0.000,0.000,1.000,0.000,0.077,0.541,0.326,2
storage,-16.957,-10.241,1.307,-1.000,0.000,0.000,0.000,-1.000,0.000,1.067,0.320,1.133,1
storage,-9.771,-8.121,0.436,0.000,1.000,0.000,-1.000,0.000,0.000,1.187,0.448,0.457,1
table,-11.222,-8.654,0.435,0.383,0.924,0.000,-0.924,0.383,0.000,0.132,0.125,0.147,0
table,-17.296,-6.240,0.816,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.412,1.249,0.651,0
sofa,-13.674,-9.775,0.540,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.630,0.652,0.463,2
sofa,-13.442,-7.633,0.527,-1.000,0.000,0.000,0.000,-1.000,0.000,0.648,0.654,0.450,2
chair,-11.136,-8.140,0.425,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.247,0.279,0.060,2
chair,-11.581,-8.372,0.647,1.000,0.000,0.000,0.000,1.000,0.000,0.309,0.308,0.269,2
storage,-16.451,-5.668,1.940,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.287,0.216,0.451,1
chair,-11.585,-7.789,0.607,1.000,0.000,-0.000,0.000,1.000,0.000,0.287,0.316,0.238,2
sofa,-13.910,-5.683,0.529,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.630,0.645,0.452,2
chair,-16.885,-6.210,0.428,-1.000,0.000,0.000,0.000,-1.000,0.000,0.275,0.239,0.182,2
