label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,1.120,-8.507,7.541,0.000,1.000,-0.000,-1.000,0.000,0.000,0.307,0.217,0.311,0
other,3.602,-5.224,7.622,0.000,1.000,-0.000,-1.000,0.000,0.000,0.113,0.081,0.493,-1
chair,-1.021,-3.437,3.997,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.303,0.318,0.285,2
decor,4.727,-5.289,4.321,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.209,0.180,0.361,0
storage,0.584,-9.034,4.700,0.000,1.000,-0.000,-1.000,0.000,0.000,0.321,0.809,1.205,1
chair,-0.313,-2.602,4.114,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.128,0.293,0.182,2
bed,1.448,-7.108,7.637,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.151,0.580,0.487,2
storage,4.406,-9.043,4.672,0.000,1.000,0.000,-1.000,0.000,0.000,0.331,0.787,1.217,1
storage,4.837,-4.197,4.104,0.000,1.000,-0.000,-1.000,0.000,0.000,0.462,0.378,0.779,1
picture,-2.009,-3.420,5.508,0.000,1.000,0.000,-1.000,0.000,0.000,0.552,0.035,0.405,1
picture,-1.619,-4.507,5.229,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.467,0.033,0.376,1
storage,-0.012,-6.868,4.665,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.408,1.516,1.317,1
picture,5.352,-6.159,5.174,0.000,1.000,0.000,-1.000,0.000,0.000,0.735,0.036,0.598,1
