label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-17.949,8.038,5.070,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.140,0.408,0.252,1
storage,-17.506,5.192,4.976,0.000,1.000,-0.000,-1.000,0.000,0.000,0.181,0.219,0.417,1
storage,-18.004,11.088,4.617,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.193,0.245,0.403,1
other,-14.921,12.010,4.998,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.304,0.018,0.725,-1
decor,-14.213,4.710,5.193,1.000,0.000,0.000,0.000,1.000,0.000,0.216,0.072,0.296,0
decor,-16.447,5.126,4.913,1.000,0.000,0.000,0.000,1.000,0.000,0.149,0.115,0.194,0
storage,-17.978,8.855,4.855,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.219,3.398,1.428,1
picture,-11.330,4.654,5.161,1.000,0.000,0.000,0.000,1.000,0.000,0.367,0.019,0.471,1
other,-12.347,4.990,5.272,1.000,0.000,0.000,0.000,1.000,0.000,0.096,0.019,0.148,-1
decor,-16.951,5.177,4.793,1.000,0.000,0.000,0.000,1.000,0.000,0.168,0.158,0.315,0
picture,-13.433,4.757,5.046,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.383,0.025,0.530,1
storage,-16.947,5.194,4.877,0.000,1.000,-0.000,-1.000,0.000,0.000,0.180,0.248,0.416,1
storage,-16.394,5.190,5.126,0.000,1.000,0.000,-1.000,0.000,0.000,0.182,0.203,0.417,1
decor,-17.507,5.195,4.887,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.085,0.075,0.293,0
storage,-17.997,10.035,4.515,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.203,0.255,0.279,1
decor,-18.044,10.236,5.280,1.000,0.000,0.000,0.000,1.000,0.000,0.128,0.122,0.156,0
other,-16.262,4.732,5.207,1.000,0.000,0.000,0.000,1.000,0.000,0.275,0.054,0.308,-1
decor,-18.002,7.990,4.973,0.000,1.000,0.000,-1.000,0.000,0.000,0.345,0.087,0.151,0
picture,-17.800,8.011,4.306,0.000,1.000,-0.000,-1.000,0.000,0.000,0.314,0.013,0.366,1
other,-17.309,12.165,5.072,1.000,0.000,0.000,0.000,1.000,0.000,0.121,0.093,0.487,-1
storage,-18.000,10.236,5.396,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.196,0.243,0.272,1
other,-14.937,12.107,5.272,1.000,0.000,0.000,0.000,1.000,0.000,0.322,0.112,0.408,-1
decor,-18.058,9.378,4.676,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.131,0.079,0.352,0
picture,-11.104,4.705,4.890,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.695,0.054,0.808,1
picture,-17.214,4.764,4.979,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.410,0.017,0.563,1
decor,-18.097,11.143,4.544,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.191,0.106,0.320,0
other,-12.255,10.882,5.279,0.000,1.000,0.000,-1.000,0.000,0.000,0.049,0.037,0.042,-1
