label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,3.602,-12.939,-5.269,-1.000,0.000,0.000,0.000,-1.000,0.000,0.107,0.304,0.281,2
picture,-4.513,-0.338,-1.997,0.000,1.000,-0.000,-1.000,0.000,0.000,0.609,0.079,0.748,1
picture,3.673,-9.105,-1.963,0.000,1.000,-0.000,-1.000,0.000,0.000,0.771,0.086,0.855,1
picture,3.708,-9.050,-2.453,0.000,1.000,0.000,-1.000,0.000,0.000,0.640,0.042,0.358,1
picture,-4.500,0.760,-2.081,0.000,1.000,-0.000,-1.000,0.000,0.000,0.584,0.067,0.646,1
decor,3.895,0.836,-4.378,0.000,1.000,-0.000,-1.000,0.000,0.000,0.275,0.129,0.611,0
picture,3.799,4.875,-1.881,0.000,1.000,-0.000,-1.000,0.000,0.000,0.725,0.085,0.960,1
picture,-4.495,5.559,-1.928,0.000,1.000,-0.000,-1.000,0.000,0.000,0.708,0.053,0.913,1
decor,-4.633,0.877,-4.576,0.000,1.000,-0.000,-1.000,0.000,0.000,0.187,0.121,0.352,0
decor,-4.708,-5.060,-4.650,0.000,1.000,-0.000,-1.000,0.000,0.000,0.187,0.123,0.316,0
chair,-4.564,-9.713,-5.243,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.113,0.257,0.261,2
chair,-4.194,0.873,-5.496,1.000,0.000,0.000,0.000,1.000,0.000,0.343,0.276,0.460,2
decor,-4.678,-3.681,-4.542,0.000,1.000,-0.000,-1.000,0.000,0.000,0.164,0.123,0.447,0
decor,-4.607,4.384,-4.595,0.000,1.000,-0.000,-1.000,0.000,0.000,0.187,0.100,0.347,0
decor,-4.701,-8.310,-4.556,0.000,1.000,-0.000,-1.000,0.000,0.000,0.210,0.110,0.340,0
chair,-4.538,-12.868,-5.331,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.075,0.234,0.284,2
decor,-4.694,-9.689,-4.789,0.000,1.000,0.000,-1.000,0.000,0.000,0.234,0.149,0.210,0
decor,3.810,-0.572,-4.595,0.000,1.000,-0.000,-1.000,0.000,0.000,0.234,0.101,0.384,0
chair,3.371,-8.380,-5.365,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.338,0.327,0.406,2
chair,3.360,-9.829,-5.401,-1.000,0.000,0.000,0.000,-1.000,0.000,0.331,0.421,0.459,2
decor,3.829,-9.711,-4.795,0.000,1.000,-0.000,-1.000,0.000,0.000,0.224,0.158,0.224,0
chair,3.427,0.814,-5.390,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.328,0.271,0.355,2
picture,3.787,0.152,-1.842,0.000,1.000,-0.000,-1.000,0.000,0.000,0.819,0.062,1.043,1
decor,-4.081,5.375,-4.943,0.000,1.000,-0.000,-1.000,0.000,0.000,0.617,0.299,1.023,0
sofa,3.335,4.202,-5.781,-1.000,0.000,0.000,0.000,-1.000,0.000,0.374,0.696,0.201,2
chair,-4.453,-0.460,-5.480,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.100,0.215,0.444,2
picture,3.733,-4.546,-2.015,0.000,1.000,-0.000,-1.000,0.000,0.000,0.701,0.060,0.870,1
picture,-4.598,-4.406,-1.856,0.000,1.000,-0.000,-1.000,0.000,0.000,0.701,0.050,0.935,1
decor,3.874,-3.816,-4.573,0.000,1.000,-0.000,-1.000,0.000,0.000,0.212,0.148,0.431,0
picture,-4.645,-9.035,-1.944,0.000,1.000,-0.000,-1.000,0.000,0.000,0.748,0.046,0.895,1
picture,-4.500,4.290,-2.067,0.000,1.000,-0.000,-1.000,0.000,0.000,0.608,0.048,0.771,1
decor,3.849,-8.351,-4.623,0.000,1.000,-0.000,-1.000,0.000,0.000,0.221,0.161,0.404,0
sofa,-4.017,4.330,-5.765,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.297,0.631,0.190,2
decor,3.647,-9.709,-4.805,0.000,1.000,0.000,-1.000,0.000,0.000,0.207,0.063,0.186,0
decor,3.323,5.698,-4.817,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.201,0.138,0.893,0
decor,-4.590,-0.455,-4.557,0.000,1.000,-0.000,-1.000,0.000,0.000,0.210,0.117,0.357,0
chair,3.461,-0.572,-5.457,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.401,0.327,0.514,2
chair,-4.633,-8.287,-5.199,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.194,0.281,0.304,2
