label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,10.663,-7.390,-5.506,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.531,0.364,0.507,2
table,15.872,-8.099,-5.608,0.000,1.000,0.000,-1.000,0.000,0.000,0.741,0.474,0.434,0
chair,10.416,-9.227,-5.496,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.279,0.301,0.483,2
chair,14.752,-6.478,-5.909,0.000,1.000,-0.000,-1.000,0.000,0.000,0.058,0.046,0.077,2
chair,14.613,-6.835,-5.504,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.327,0.323,0.484,2
table,11.506,-8.239,-5.582,0.000,1.000,0.000,-1.000,0.000,0.000,1.577,0.907,0.405,0
chair,14.595,-9.829,-5.534,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.319,0.450,0.486,2
picture,16.368,-4.505,-3.227,0.000,1.000,-0.000,-1.000,0.000,0.000,0.475,0.053,0.583,1
decor,15.879,-8.166,-4.987,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.369,0.270,0.322,0
chair,10.394,-8.626,-5.486,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.283,0.306,0.491,2
picture,16.303,-11.704,-3.197,0.000,1.000,-0.000,-1.000,0.000,0.000,0.568,0.064,0.674,1
chair,12.685,-8.198,-5.210,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.359,0.431,0.707,2
chair,11.536,-6.502,-5.490,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.346,0.308,0.490,2
chair,14.606,-9.193,-5.523,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.328,0.292,0.494,2
table,11.780,-13.933,-5.564,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.965,0.589,0.504,0
chair,14.625,-6.345,-5.501,-1.000,0.000,0.000,0.000,-1.000,0.000,0.330,0.385,0.491,2
chair,10.400,-7.997,-5.487,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.264,0.352,0.491,2
chair,11.505,-10.008,-5.511,0.000,1.000,0.000,-1.000,0.000,0.000,0.288,0.322,0.476,2
chair,14.596,-11.043,-5.476,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.317,0.260,0.435,2
chair,12.604,-9.058,-5.500,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.343,0.303,0.486,2
chair,14.589,-10.439,-5.525,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.315,0.273,0.493,2
chair,12.612,-7.321,-5.491,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.326,0.295,0.486,2
picture,16.349,-8.116,-3.297,0.000,1.000,-0.000,-1.000,0.000,0.000,0.634,0.057,1.049,1
chair,14.607,-5.024,-5.499,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.318,0.296,0.487,2
chair,14.621,-5.669,-5.503,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.330,0.322,0.483,2
