label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,4.515,-13.536,3.820,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.366,0.279,0.440,1
other,3.073,-13.238,4.014,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.940,0.133,0.614,-1
other,3.082,-13.432,4.184,1.000,0.000,0.000,0.000,1.000,0.000,0.262,0.221,0.111,-1
picture,3.089,-13.868,5.061,1.000,0.000,0.000,0.000,1.000,0.000,0.947,0.079,0.830,1
other,5.211,-13.479,3.786,0.000,1.000,0.000,-1.000,0.000,0.000,0.374,0.267,0.302,-1
other,3.068,-13.542,4.352,1.000,0.000,0.000,0.000,1.000,0.000,0.928,0.422,0.230,-1
picture,4.547,-13.900,5.042,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.394,0.122,0.849,1
storage,3.729,-12.086,4.639,1.000,0.000,0.000,0.000,1.000,0.000,0.316,0.037,1.245,1
other,4.899,-12.000,3.639,1.000,0.000,0.000,0.000,1.000,0.000,0.720,0.386,0.282,-1
picture,5.284,-13.848,4.987,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.162,0.015,0.120,1
