label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
tv,-6.352,22.197,4.109,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.207,0.429,0.289,2
chair,-4.686,20.246,3.558,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.190,0.330,0.268,2
tv,-5.418,22.286,4.313,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.099,0.250,0.263,2
picture,-4.176,19.455,5.053,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.037,0.054,0.685,1
storage,-0.492,19.914,4.614,-1.000,0.000,0.000,0.000,-1.000,0.000,0.240,0.498,1.228,1
chair,-2.234,22.512,3.609,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.395,0.649,0.329,2
table,-5.231,22.306,3.730,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.307,0.652,0.406,0
other,-1.809,19.794,3.578,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.109,0.484,0.288,-1
chair,-4.996,21.858,3.826,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.379,0.306,0.529,2
table,-4.699,19.863,3.808,0.000,1.000,0.000,-1.000,0.000,0.000,0.440,0.674,0.513,0
