label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-28.472,4.038,4.727,1.000,0.000,0.000,0.000,1.000,0.000,0.150,0.056,0.238,-1
other,-25.546,2.821,3.993,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.025,0.093,0.427,-1
other,-28.826,4.226,5.030,0.000,1.000,-0.000,-1.000,0.000,0.000,0.048,0.017,0.087,-1
picture,-28.805,4.729,5.069,0.000,1.000,-0.000,-1.000,0.000,0.000,0.398,0.035,0.548,1
other,-25.930,3.973,4.973,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.238,0.022,0.269,-1
other,-25.875,3.232,3.840,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.433,0.280,0.394,-1
other,-28.515,4.706,4.480,0.000,1.000,0.000,-1.000,0.000,0.000,0.726,0.333,0.181,-1
other,-27.701,5.347,4.504,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.443,0.085,0.372,-1
other,-28.502,4.709,4.271,0.000,1.000,0.000,-1.000,0.000,0.000,0.237,0.180,0.092,-1
other,-25.670,2.843,3.572,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.145,0.137,0.133,-1
other,-28.801,5.207,5.112,0.383,0.924,0.000,-0.924,0.383,0.000,0.052,0.022,0.034,-1
