label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,5.306,-4.274,1.238,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.327,0.268,1.205,-1
other,4.280,-3.963,1.069,0.000,1.000,-0.000,-1.000,0.000,0.000,0.153,0.046,0.185,-1
other,4.938,-5.349,0.334,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.696,0.414,0.295,-1
picture,5.614,-5.127,1.789,0.000,1.000,-0.000,-1.000,0.000,0.000,0.175,0.019,0.232,1
other,4.283,-4.479,1.105,0.000,1.000,-0.000,-1.000,0.000,0.000,0.116,0.047,0.150,-1
other,4.286,-4.226,1.134,0.000,1.000,0.000,-1.000,0.000,0.000,0.370,0.054,0.130,-1
chair,5.361,-2.769,0.497,-1.000,0.000,0.000,0.000,-1.000,0.000,0.272,0.311,0.477,2
picture,4.492,-5.738,1.664,1.000,0.000,0.000,0.000,1.000,0.000,0.126,0.008,0.161,1
other,4.931,-2.244,1.693,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.699,0.258,1.662,-1
other,5.350,-3.448,0.471,0.000,1.000,-0.000,-1.000,0.000,0.000,0.330,0.285,0.442,-1
picture,5.615,-3.414,1.628,0.000,1.000,-0.000,-1.000,0.000,0.000,0.137,0.017,0.170,1
picture,5.589,-3.412,1.111,0.000,1.000,0.000,-1.000,0.000,0.000,0.187,0.044,0.178,1
