label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-9.756,14.164,-1.237,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.620,0.102,0.031,-1
sofa,-12.491,11.431,-0.459,0.924,0.383,0.000,-0.383,0.924,0.000,0.497,0.443,0.368,2
sofa,-9.924,10.292,-0.406,0.000,1.000,0.000,-1.000,0.000,0.000,0.614,1.370,0.435,2
table,-10.039,12.792,-0.449,0.000,1.000,0.000,-1.000,0.000,0.000,0.953,0.926,0.184,0
sofa,-12.382,14.261,-0.434,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.501,0.471,0.373,2
other,-13.277,10.819,-1.240,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.756,0.150,0.048,-1
other,-8.999,15.096,-3.862,1.000,0.000,0.000,0.000,1.000,0.000,0.553,0.341,0.074,-1
other,-9.729,10.777,-1.239,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.635,0.114,0.034,-1
other,-13.078,14.230,-1.229,1.000,0.000,0.000,0.000,1.000,0.000,0.585,0.114,0.046,-1
other,-11.167,12.514,-1.533,0.000,1.000,0.000,-1.000,0.000,0.000,0.229,0.129,0.101,-1
table,-11.522,10.288,-0.293,1.000,0.000,0.000,0.000,1.000,0.000,0.368,0.334,0.066,0
