label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-4.360,3.201,0.871,0.000,1.000,-0.000,-1.000,0.000,0.000,0.178,0.071,0.194,-1
storage,-4.467,4.067,1.565,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.066,0.152,0.450,1
decor,-2.528,4.180,1.958,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.102,0.100,0.089,0
picture,-3.873,4.380,1.685,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.309,0.017,0.589,1
picture,-3.011,4.396,2.037,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.361,0.034,0.334,1
decor,-4.339,4.203,1.979,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.142,0.086,0.124,0
picture,-4.406,3.185,1.799,0.000,1.000,-0.000,-1.000,0.000,0.000,0.195,0.029,0.322,1
decor,-3.396,4.316,1.885,0.707,0.707,0.000,-0.707,0.707,0.000,0.259,0.104,0.162,0
other,-2.773,1.312,1.671,1.000,0.000,0.000,0.000,1.000,0.000,0.323,0.028,0.497,-1
picture,-2.133,4.367,1.685,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.256,0.013,0.577,1
decor,-1.724,4.247,1.983,0.383,0.924,0.000,-0.924,0.383,0.000,0.147,0.089,0.130,0
other,-1.981,1.877,0.418,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.362,0.261,0.406,-1
other,-2.892,3.998,1.264,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.554,0.374,1.262,-1
other,-1.794,1.405,0.183,1.000,0.000,0.000,0.000,1.000,0.000,0.171,0.110,0.178,-1
